filename,cellCount,branchSum,junctionSum,endpointSum,avgbranchSum,branchSumCell,junctionSumCell,endpointSumCell,avgbranchSumCell
13_RightDG_2a,51,380,165,220,4.443999999999999,7.450980392156863,3.235294117647059,4.313725490196078,0.08713725490196077
13_RightDG_2b,34,292,134,146,3.0680000000000005,8.588235294117647,3.9411764705882355,4.294117647058823,0.09023529411764708
13_RightDG_3a,60,518,230,304,6.244999999999999,8.633333333333333,3.8333333333333335,5.066666666666666,0.10408333333333332
13_RightDG_3b,30,277,126,153,3.615,9.233333333333333,4.2,5.1,0.12050000000000001
15_LeftCA1_1,48,1509,725,705,5.761,31.4375,15.104166666666666,14.6875,0.12002083333333334
15_LeftCA1_2,46,1803,876,787,5.17,39.19565217391305,19.043478260869566,17.108695652173914,0.11239130434782608
15_LeftCA1_3,43,1568,750,736,4.791,36.46511627906977,17.441860465116278,17.11627906976744,0.1114186046511628
15_LeftCA3_1,20,633,302,288,2.109,31.65,15.1,14.4,0.10545
15_LeftCA3_2,32,1187,574,537,3.6410000000000013,37.09375,17.9375,16.78125,0.11378125000000004
15_LeftCA3_3,27,1473,715,631,3.1399999999999997,54.55555555555556,26.48148148148148,23.37037037037037,0.11629629629629629
15_LeftDG_1a,60,1737,834,828,6.85,28.95,13.9,13.8,0.11416666666666667
15_LeftDG_1b,36,591,285,290,4.663999999999999,16.416666666666668,7.916666666666667,8.055555555555555,0.12955555555555553
15_LeftDG_2a,60,1841,881,834,6.561000000000003,30.683333333333334,14.683333333333334,13.9,0.10935000000000004
15_LeftDG_2b,33,1023,490,472,3.9240000000000004,31.0,14.848484848484848,14.303030303030303,0.11890909090909092
15_LeftDG_3a,53,2392,1163,1052,5.796000000000003,45.132075471698116,21.943396226415093,19.849056603773583,0.10935849056603779
15_LeftDG_3b,33,977,475,465,4.253,29.606060606060606,14.393939393939394,14.090909090909092,0.12887878787878787
15_RightCA1_1,43,1087,524,509,4.649,25.27906976744186,12.186046511627907,11.837209302325581,0.10811627906976744
15_RightCA1_2,51,1229,593,574,5.372000000000002,24.098039215686274,11.627450980392156,11.254901960784315,0.10533333333333336
15_RightCA1_3,40,1234,594,577,4.699000000000001,30.85,14.85,14.425,0.11747500000000002
15_RightCA3_1,29,532,252,263,3.1450000000000005,18.344827586206897,8.689655172413794,9.068965517241379,0.10844827586206898
15_RightCA3_2,33,889,433,393,3.814,26.939393939393938,13.121212121212121,11.909090909090908,0.11557575757575758
15_RightCA3_3,31,810,384,381,3.7910000000000004,26.129032258064516,12.387096774193548,12.290322580645162,0.12229032258064518
15_RightDG_1a,52,1034,487,509,5.855000000000001,19.884615384615383,9.365384615384615,9.788461538461538,0.11259615384615387
15_RightDG_1b,32,649,304,317,3.958000000000001,20.28125,9.5,9.90625,0.12368750000000003
15_RightDG_2a,49,2309,1119,1004,5.2,47.12244897959184,22.836734693877553,20.489795918367346,0.10612244897959185
15_RightDG_2b,33,1068,522,471,3.625,32.36363636363637,15.818181818181818,14.272727272727273,0.10984848484848485
15_RightDG_3a,57,2217,1072,996,6.094000000000002,38.89473684210526,18.80701754385965,17.473684210526315,0.10691228070175442
15_RightDG_3b,29,755,358,341,3.295000000000001,26.03448275862069,12.344827586206897,11.758620689655173,0.11362068965517244
36_LeftCA1_1,50,759,352,397,5.857000000000002,15.18,7.04,7.94,0.11714000000000004
36_LeftCA1_2,47,596,270,331,5.072000000000002,12.680851063829786,5.74468085106383,7.042553191489362,0.10791489361702132
36_LeftCA1_3,51,431,187,260,5.546,8.450980392156863,3.6666666666666665,5.098039215686274,0.10874509803921568
36_LeftCA3_1,36,422,198,228,4.246999999999999,11.722222222222221,5.5,6.333333333333333,0.1179722222222222
36_LeftCA3_2,40,455,206,258,5.204,11.375,5.15,6.45,0.1301
36_LeftCA3_3,44,448,200,261,5.058000000000001,10.181818181818182,4.545454545454546,5.931818181818182,0.11495454545454548
36_LeftDG_1a,68,842,376,479,6.894,12.382352941176471,5.529411764705882,7.044117647058823,0.10138235294117648
36_LeftDG_1b,39,464,210,248,4.89,11.897435897435898,5.384615384615385,6.358974358974359,0.12538461538461537
36_LeftDG_2a,67,799,360,448,7.107000000000001,11.925373134328359,5.373134328358209,6.686567164179104,0.10607462686567166
36_LeftDG_2b,32,460,221,234,4.329,14.375,6.90625,7.3125,0.13528125
36_LeftDG_3a,68,666,298,381,7.2139999999999995,9.794117647058824,4.382352941176471,5.602941176470588,0.10608823529411764
36_LeftDG_3b,32,453,210,233,3.8010000000000006,14.15625,6.5625,7.28125,0.11878125000000002
36_RightCA1_1,44,385,172,231,5.176000000000002,8.75,3.909090909090909,5.25,0.11763636363636368
36_RightCA1_2,50,654,299,354,5.35,13.08,5.98,7.08,0.107
36_RightCA1_3,36,504,236,257,4.350000000000001,14.0,6.555555555555555,7.138888888888889,0.12083333333333338
36_RightCA3_1,41,408,182,240,5.392000000000001,9.951219512195122,4.439024390243903,5.853658536585366,0.13151219512195125
36_RightCA3_2,34,452,212,239,4.156,13.294117647058824,6.235294117647059,7.029411764705882,0.12223529411764705
36_RightCA3_3,35,320,140,188,3.6039999999999988,9.142857142857142,4.0,5.371428571428571,0.10297142857142853
36_RightDG_1a,55,561,247,331,6.398000000000001,10.2,4.490909090909091,6.0181818181818185,0.11632727272727274
36_RightDG_1b,33,442,204,246,4.314,13.393939393939394,6.181818181818182,7.454545454545454,0.13072727272727272
36_RightDG_2a,74,821,373,460,7.993000000000003,11.094594594594595,5.04054054054054,6.216216216216216,0.10801351351351356
36_RightDG_2b,32,350,158,188,4.136,10.9375,4.9375,5.875,0.12925
36_RightDG_3a,60,574,248,334,6.297999999999999,9.566666666666666,4.133333333333334,5.566666666666666,0.10496666666666665
36_RightDG_3b,28,297,137,169,3.0290000000000004,10.607142857142858,4.892857142857143,6.035714285714286,0.10817857142857144
38_LeftCA1_1,57,578,264,318,7.068999999999999,10.140350877192983,4.631578947368421,5.578947368421052,0.12401754385964911
38_LeftCA1_2,50,607,281,333,5.979000000000001,12.14,5.62,6.66,0.11958000000000002
38_LeftCA1_3,40,381,175,207,4.418000000000001,9.525,4.375,5.175,0.11045000000000002
38_LeftCA3_1,37,451,206,252,4.763,12.18918918918919,5.5675675675675675,6.8108108108108105,0.12872972972972974
38_LeftCA3_2,39,496,230,264,4.683999999999999,12.717948717948717,5.897435897435898,6.769230769230769,0.12010256410256408
38_LeftCA3_3,32,378,173,210,4.043,11.8125,5.40625,6.5625,0.12634375
38_LeftDG_1a,45,505,229,277,5.681,11.222222222222221,5.088888888888889,6.155555555555556,0.12624444444444444
38_LeftDG_1b,50,485,218,280,5.8740000000000006,9.7,4.36,5.6,0.11748000000000001
38_LeftDG_2a,58,542,249,300,6.258000000000002,9.344827586206897,4.293103448275862,5.172413793103448,0.10789655172413797
38_LeftDG_2b,39,398,181,232,4.993999999999999,10.205128205128204,4.641025641025641,5.948717948717949,0.12805128205128202
38_LeftDG_3a,63,457,202,270,6.8580000000000005,7.253968253968254,3.2063492063492065,4.285714285714286,0.10885714285714286
38_LeftDG_3b,34,290,128,161,4.063999999999999,8.529411764705882,3.764705882352941,4.735294117647059,0.11952941176470586
38_RightCA1_1,50,530,241,300,6.345000000000002,10.6,4.82,6.0,0.12690000000000004
38_RightCA1_2,52,522,232,306,5.768,10.038461538461538,4.461538461538462,5.884615384615385,0.11092307692307692
38_RightCA1_3,51,534,244,296,6.22,10.470588235294118,4.784313725490196,5.803921568627451,0.12196078431372548
38_RightCA3_1,39,618,301,288,5.04,15.846153846153847,7.717948717948718,7.384615384615385,0.12923076923076923
38_RightCA3_2,28,325,151,179,3.93,11.607142857142858,5.392857142857143,6.392857142857143,0.14035714285714287
38_RightCA3_3,33,363,168,198,4.156999999999998,11.0,5.090909090909091,6.0,0.12596969696969693
38_RightDG_1a,47,593,274,308,5.468999999999999,12.617021276595745,5.829787234042553,6.553191489361702,0.11636170212765956
38_RightDG_1b,46,515,238,284,6.436000000000001,11.195652173913043,5.173913043478261,6.173913043478261,0.1399130434782609
38_RightDG_2a,69,704,321,393,7.64,10.202898550724637,4.6521739130434785,5.695652173913044,0.11072463768115942
38_RightDG_2b,35,417,192,230,4.404999999999999,11.914285714285715,5.485714285714286,6.571428571428571,0.12585714285714283
38_RightDG_3a,51,570,253,320,6.697,11.176470588235293,4.96078431372549,6.2745098039215685,0.13131372549019607
38_RightDG_3b,30,342,164,176,4.203,11.4,5.466666666666667,5.866666666666666,0.1401
40_LeftCA1_1,46,646,306,315,4.98,14.043478260869565,6.6521739130434785,6.8478260869565215,0.1082608695652174
40_LeftCA1_2,49,546,246,298,4.834,11.142857142857142,5.020408163265306,6.081632653061225,0.09865306122448979
40_LeftCA1_3,58,640,288,352,5.877000000000002,11.03448275862069,4.9655172413793105,6.068965517241379,0.10132758620689658
40_LeftCA3_1,39,405,182,220,4.215000000000001,10.384615384615385,4.666666666666667,5.641025641025641,0.1080769230769231
40_LeftCA3_2,34,264,118,152,3.555,7.764705882352941,3.4705882352941178,4.470588235294118,0.10455882352941177
40_LeftCA3_3,41,492,229,266,4.463000000000001,12.0,5.585365853658536,6.487804878048781,0.1088536585365854
40_LeftDG_1a,61,744,345,389,6.615000000000003,12.19672131147541,5.655737704918033,6.377049180327869,0.10844262295081972
40_LeftDG_1b,33,354,163,187,3.4960000000000004,10.727272727272727,4.9393939393939394,5.666666666666667,0.10593939393939396
40_LeftDG_2a,64,551,245,320,6.486,8.609375,3.828125,5.0,0.10134375
40_LeftDG_2b,46,303,126,192,4.224,6.586956521739131,2.739130434782609,4.173913043478261,0.09182608695652174
40_LeftDG_3a,64,734,332,394,6.094,11.46875,5.1875,6.15625,0.09521875
40_LeftDG_3b,31,227,99,136,3.3249999999999997,7.32258064516129,3.193548387096774,4.387096774193548,0.10725806451612903
40_RightCA1_1,50,765,360,385,5.239000000000001,15.3,7.2,7.7,0.10478000000000001
40_RightCA1_2,48,757,345,394,4.793000000000001,15.770833333333334,7.1875,8.208333333333334,0.09985416666666669
40_RightCA1_3,51,862,417,409,5.482000000000002,16.901960784313726,8.176470588235293,8.019607843137255,0.10749019607843141
40_RightCA3_1,32,333,151,184,3.3650000000000007,10.40625,4.71875,5.75,0.10515625000000002
40_RightCA3_2,35,549,249,298,3.548,15.685714285714285,7.114285714285714,8.514285714285714,0.10137142857142857
40_RightCA3_3,43,386,175,222,4.619000000000001,8.976744186046512,4.069767441860465,5.162790697674419,0.1074186046511628
40_RightDG_1a,59,660,291,371,5.8420000000000005,11.186440677966102,4.932203389830509,6.288135593220339,0.09901694915254239
40_RightDG_1b,31,376,175,191,3.2880000000000003,12.129032258064516,5.645161290322581,6.161290322580645,0.10606451612903227
40_RightDG_2a,68,595,263,350,6.448000000000002,8.75,3.8676470588235294,5.147058823529412,0.09482352941176474
40_RightDG_2b,33,329,143,193,3.443,9.969696969696969,4.333333333333333,5.848484848484849,0.10433333333333333
40_RightDG_3a,49,642,295,338,5.047000000000001,13.10204081632653,6.020408163265306,6.8979591836734695,0.10300000000000001
40_RightDG_3b,33,532,246,268,3.6629999999999994,16.12121212121212,7.454545454545454,8.121212121212121,0.11099999999999999
51_LeftCA1_1,50,1548,742,726,5.402000000000001,30.96,14.84,14.52,0.10804000000000002
51_LeftCA1_2,40,979,474,471,4.269,24.475,11.85,11.775,0.106725
51_LeftCA1_3,48,1751,843,817,5.494000000000002,36.479166666666664,17.5625,17.020833333333332,0.11445833333333338
51_LeftCA3_1,36,1236,597,573,4.191000000000001,34.333333333333336,16.583333333333332,15.916666666666666,0.11641666666666668
51_LeftCA3_2,41,1256,597,603,4.812,30.634146341463413,14.560975609756097,14.707317073170731,0.11736585365853659
51_LeftCA3_3,40,1740,846,779,4.773999999999999,43.5,21.15,19.475,0.11934999999999998
51_LeftDG_1a,60,2029,969,945,6.720000000000001,33.81666666666667,16.15,15.75,0.11200000000000002
51_LeftDG_1b,34,854,411,418,4.475,25.11764705882353,12.088235294117647,12.294117647058824,0.1316176470588235
51_LeftDG_2a,63,1789,848,829,6.778999999999999,28.396825396825395,13.46031746031746,13.158730158730158,0.10760317460317459
51_LeftDG_2b,30,1007,471,493,3.7280000000000006,33.56666666666667,15.7,16.433333333333334,0.12426666666666669
51_LeftDG_3a,74,3127,1500,1381,7.8809999999999985,42.25675675675676,20.27027027027027,18.66216216216216,0.10649999999999998
51_LeftDG_3b,30,939,460,434,3.5309999999999993,31.3,15.333333333333334,14.466666666666667,0.11769999999999997
51_RightCA1_1,45,1688,812,781,4.958000000000001,37.51111111111111,18.044444444444444,17.355555555555554,0.1101777777777778
51_RightCA1_2,48,1081,513,544,5.793,22.520833333333332,10.6875,11.333333333333334,0.1206875
51_RightCA1_3,50,1909,910,873,5.449000000000001,38.18,18.2,17.46,0.10898000000000002
51_RightCA3_1,33,972,470,444,3.7640000000000002,29.454545454545453,14.242424242424242,13.454545454545455,0.11406060606060607
51_RightCA3_2,33,1496,734,656,3.7700000000000005,45.333333333333336,22.242424242424242,19.87878787878788,0.11424242424242426
51_RightCA3_3,36,1478,716,651,4.435,41.05555555555556,19.88888888888889,18.083333333333332,0.12319444444444444
51_RightDG_1a,56,2441,1178,1055,5.864000000000001,43.589285714285715,21.035714285714285,18.839285714285715,0.10471428571428573
51_RightDG_1b,36,1195,573,561,4.502,33.19444444444444,15.916666666666666,15.583333333333334,0.12505555555555556
51_RightDG_2a,45,1416,668,649,4.992999999999999,31.466666666666665,14.844444444444445,14.422222222222222,0.11095555555555554
51_RightDG_2b,35,633,295,331,4.371,18.085714285714285,8.428571428571429,9.457142857142857,0.1248857142857143
51_RightDG_3a,54,2469,1202,1071,5.976999999999999,45.72222222222222,22.25925925925926,19.833333333333332,0.11068518518518518
51_RightDG_3b,33,1135,542,532,3.9930000000000003,34.39393939393939,16.424242424242426,16.12121212121212,0.12100000000000001
53_LeftCA1_1,45,426,196,236,4.707,9.466666666666667,4.355555555555555,5.2444444444444445,0.1046
53_LeftCA1_2,41,662,307,340,4.751000000000001,16.146341463414632,7.487804878048781,8.292682926829269,0.11587804878048784
53_LeftCA1_3,44,600,277,308,4.954,13.636363636363637,6.295454545454546,7.0,0.11259090909090909
53_LeftCA3_1,35,395,181,212,4.327,11.285714285714286,5.171428571428572,6.057142857142857,0.12362857142857142
53_LeftCA3_2,39,716,337,361,4.7639999999999985,18.358974358974358,8.64102564102564,9.256410256410257,0.12215384615384611
53_LeftCA3_3,36,406,181,231,4.390000000000001,11.277777777777779,5.027777777777778,6.416666666666667,0.12194444444444447
53_LeftDG_1a,50,664,306,342,4.951000000000001,13.28,6.12,6.84,0.09902000000000002
53_LeftDG_1b,30,264,118,148,3.4959999999999996,8.8,3.933333333333333,4.933333333333334,0.11653333333333332
