,Cell count,# Branches,# Junctions,# End-points,Avg branch length,Branches/cell,Junctions/cell,End-points/cell,Avg branch length/cell
36_LeftDG_2a,67,,,,,,,,
36_LeftDG_2b,32,,,,,,,,
36_LeftDG_3a,68,,,,,,,,
36_LeftDG_3b,32,,,,,,,,
36_RightCA1_1,44,,,,,,,,
36_RightCA1_2,50,,,,,,,,
36_RightCA1_3,36,,,,,,,,
36_RightCA3_1,41,,,,,,,,
36_RightCA3_2,34,,,,,,,,
36_RightCA3_3,35,,,,,,,,
36_RightDG_1a,55,,,,,,,,
36_RightDG_1b,33,,,,,,,,
36_RightDG_2a,74,,,,,,,,
36_RightDG_2b,32,,,,,,,,
36_RightDG_3a,60,,,,,,,,
36_RightDG_3b,28,,,,,,,,
38_LeftCA1_1,57,,,,,,,,
38_LeftCA1_2,50,,,,,,,,
38_LeftCA1_3,40,,,,,,,,
38_LeftCA3_1,37,,,,,,,,
38_LeftCA3_2,39,,,,,,,,
38_LeftCA3_3,32,,,,,,,,
38_LeftDG_1a,45,,,,,,,,
38_LeftDG_1b,50,,,,,,,,
38_LeftDG_2a,58,,,,,,,,
38_LeftDG_2b,39,,,,,,,,
38_LeftDG_3a,63,,,,,,,,
38_LeftDG_3b,34,,,,,,,,
38_RightCA1_1,50,,,,,,,,
38_RightCA1_2,52,,,,,,,,
38_RightCA1_3,51,,,,,,,,
38_RightCA3_1,39,,,,,,,,
38_RightCA3_2,28,,,,,,,,
38_RightCA3_3,33,,,,,,,,
38_RightDG_1a,47,,,,,,,,
38_RightDG_1b,46,,,,,,,,
38_RightDG_2a,69,,,,,,,,
38_RightDG_2b,35,,,,,,,,
38_RightDG_3a,51,,,,,,,,
38_RightDG_3b,30,,,,,,,,
40_LeftCA1_1,46,,,,,,,,
40_LeftCA1_2,49,,,,,,,,
40_LeftCA1_3,58,,,,,,,,
40_LeftCA3_1,39,,,,,,,,
40_LeftCA3_2,34,,,,,,,,
40_LeftCA3_3,41,,,,,,,,
40_LeftDG_1a,61,,,,,,,,
40_LeftDG_1b,33,,,,,,,,
40_LeftDG_2a,64,,,,,,,,
40_LeftDG_2b,46,,,,,,,,
40_LeftDG_3a,64,,,,,,,,
40_LeftDG_3b,31,,,,,,,,
40_RightCA1_1,50,,,,,,,,
40_RightCA1_2,48,,,,,,,,
40_RightCA1_3,51,,,,,,,,
40_RightCA3_1,32,,,,,,,,
40_RightCA3_2,35,,,,,,,,
40_RightCA3_3,43,,,,,,,,
40_RightDG_1a,59,,,,,,,,
40_RightDG_1b,31,,,,,,,,
40_RightDG_2a,68,,,,,,,,
40_RightDG_2b,33,,,,,,,,
40_RightDG_3a,49,,,,,,,,
40_RightDG_3b,33,,,,,,,,
51_LeftCA1_1,50,,,,,,,,
51_LeftCA1_2,40,,,,,,,,
51_LeftCA1_3,48,,,,,,,,
51_LeftCA3_1,36,,,,,,,,
51_LeftCA3_2,41,,,,,,,,
51_LeftCA3_3,40,,,,,,,,
51_LeftDG_1a,60,,,,,,,,
51_LeftDG_1b,34,,,,,,,,
51_LeftDG_2a,63,,,,,,,,
51_LeftDG_2b,30,,,,,,,,
51_LeftDG_3a,74,,,,,,,,
51_LeftDG_3b,30,,,,,,,,
51_RightCA1_1,45,,,,,,,,
51_RightCA1_2,48,,,,,,,,
51_RightCA1_3,50,,,,,,,,
51_RightCA3_1,33,,,,,,,,
51_RightCA3_2,33,,,,,,,,
51_RightCA3_3,36,,,,,,,,
51_RightDG_1a,56,,,,,,,,
51_RightDG_1b,36,,,,,,,,
51_RightDG_2a,45,,,,,,,,
51_RightDG_2b,35,,,,,,,,
51_RightDG_3a,54,,,,,,,,
51_RightDG_3b,33,,,,,,,,
53_LeftCA1_1,45,,,,,,,,
53_LeftCA1_2,41,,,,,,,,
53_LeftCA1_3,44,,,,,,,,
53_LeftCA3_1,35,,,,,,,,
53_LeftCA3_2,39,,,,,,,,
53_LeftCA3_3,36,,,,,,,,
53_LeftDG_1a,50,,,,,,,,
53_LeftDG_1b,30,,,,,,,,
53_LeftDG_2a,75,,,,,,,,
53_LeftDG_2b,38,,,,,,,,
53_LeftDG_3a,65,,,,,,,,
53_LeftDG_3b,30,,,,,,,,
53_RightCA1_1,50,,,,,,,,
53_RightCA1_2,47,,,,,,,,
53_RightCA1_3,49,,,,,,,,
53_RightCA3_1,39,,,,,,,,
53_RightCA3_2,42,,,,,,,,
53_RightCA3_3,31,,,,,,,,
53_RightDG_1a,71,,,,,,,,
53_RightDG_1b,47,,,,,,,,
53_RightDG_2a,68,,,,,,,,
53_RightDG_2b,34,,,,,,,,
53_RightDG_3a,77,,,,,,,,
53_RightDG_3b,47,,,,,,,,
55_LeftCA1_1,50,,,,,,,,
55_LeftCA1_2,44,,,,,,,,
55_LeftCA1_3,56,,,,,,,,
55_LeftCA3_1,37,,,,,,,,
55_LeftCA3_2,41,,,,,,,,
55_LeftCA3_3,45,,,,,,,,
55_LeftDG_1a,53,,,,,,,,
55_LeftDG_1b,48,,,,,,,,
55_LeftDG_2a,52,,,,,,,,
55_LeftDG_2b,43,,,,,,,,
55_LeftDG_3a,51,,,,,,,,
55_LeftDG_3b,40,,,,,,,,
55_RightCA1_1,44,,,,,,,,
55_RightCA1_2,45,,,,,,,,
55_RightCA1_3,47,,,,,,,,
55_RightCA3_1,34,,,,,,,,
55_RightCA3_2,39,,,,,,,,
55_RightCA3_3,38,,,,,,,,
55_RightDG_1a,60,,,,,,,,
55_RightDG_1b,39,,,,,,,,
55_RightDG_2a,70,,,,,,,,
55_RightDG_2b,47,,,,,,,,
55_RightDG_3a,42,,,,,,,,
55_RightDG_3b,46,,,,,,,,
72_LeftCA1_1,46,,,,,,,,
72_LeftCA1_2,45,,,,,,,,
72_LeftCA1_3,48,,,,,,,,
72_LeftCA3_1,53,,,,,,,,
72_LeftCA3_2,52,,,,,,,,
72_LeftCA3_3,40,,,,,,,,
72_LeftDG_1a,57,,,,,,,,
72_LeftDG_1b,46,,,,,,,,
72_LeftDG_2a,53,,,,,,,,
72_LeftDG_2b,47,,,,,,,,
72_LeftDG_3a,54,,,,,,,,
72_LeftDG_3b,36,,,,,,,,
72_RightCA1_1,46,,,,,,,,
72_RightCA1_2,41,,,,,,,,
72_RightCA1_3,42,,,,,,,,
72_RightCA3_1,34,,,,,,,,
72_RightCA3_2,41,,,,,,,,
72_RightCA3_3,35,,,,,,,,
72_RightDG_1a,49,,,,,,,,
72_RightDG_1b,37,,,,,,,,
72_RightDG_2a,48,,,,,,,,
72_RightDG_2b,55,,,,,,,,
72_RightDG_3a,41,,,,,,,,
72_RightDG_3b,37,,,,,,,,
74_LeftCA1_1,59,,,,,,,,
74_LeftCA1_2,66,,,,,,,,
74_LeftCA1_3,61,,,,,,,,
74_LeftCA3_1,56,,,,,,,,
74_LeftCA3_2,46,,,,,,,,
74_LeftCA3_3,48,,,,,,,,
74_LeftDG_1a,72,,,,,,,,
74_LeftDG_1b,51,,,,,,,,
74_LeftDG_2a,53,,,,,,,,
74_LeftDG_2b,45,,,,,,,,
74_LeftDG_3a,63,,,,,,,,
74_LeftDG_3b,53,,,,,,,,
74_RightCA1_1,70,,,,,,,,
74_RightCA1_2,70,,,,,,,,
74_RightCA1_3,47,,,,,,,,
74_RightCA3_1,44,,,,,,,,
74_RightCA3_2,56,,,,,,,,
74_RightCA3_3,56,,,,,,,,
74_RightDG_1a,60,,,,,,,,
74_RightDG_1b,46,,,,,,,,
74_RightDG_2a,54,,,,,,,,
74_RightDG_2b,45,,,,,,,,
74_RightDG_3a,48,,,,,,,,
74_RightDG_3b,39,,,,,,,,
76_LeftCA1_1,59,,,,,,,,
76_LeftCA1_2,69,,,,,,,,
76_LeftCA1_3,60,,,,,,,,
76_LeftCA3_1,39,,,,,,,,
76_LeftCA3_2,45,,,,,,,,
76_LeftCA3_3,41,,,,,,,,
76_LeftDG_1a,57,,,,,,,,
76_LeftDG_1b,39,,,,,,,,
