 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,1,0.021,0,0,0.021
2,1,0,2,0,0,0.010,0,0,0.010
3,0,0,1,0,0,0.000,0,0,0.000
4,1,0,2,0,0,0.010,0,0,0.010
5,1,0,2,0,0,0.010,0,0,0.010
6,3,1,3,1,10,0.055,1,0,0.080
7,1,0,2,0,14,0.165,0,0,0.165
8,1,0,2,0,1,0.025,0,0,0.025
9,1,0,2,0,1,0.025,0,0,0.025
10,0,0,1,0,0,0.000,0,0,0.000
11,1,0,2,0,1,0.021,0,0,0.021
12,1,0,2,0,1,0.025,0,0,0.025
13,1,0,2,0,4,0.065,0,0,0.065
14,1,0,2,0,8,0.120,0,0,0.120
15,0,0,1,0,0,0.000,0,0,0.000
16,1,0,2,0,0,0.015,0,0,0.015
17,0,0,1,0,0,0.000,0,0,0.000
18,0,0,1,0,0,0.000,0,0,0.000
19,0,0,1,0,0,0.000,0,0,0.000
20,1,0,2,0,2,0.036,0,0,0.036
21,1,0,2,0,2,0.036,0,0,0.036
22,1,0,2,0,0,0.010,0,0,0.010
23,1,0,2,0,4,0.065,0,0,0.065
24,1,0,2,0,1,0.021,0,0,0.021
25,4,2,2,6,45,0.160,2,0,0.218
26,1,0,2,0,0,0.010,0,0,0.010
27,7,3,5,8,50,0.105,3,0,0.187
28,1,0,2,0,1,0.029,0,0,0.029
29,1,0,2,0,0,0.015,0,0,0.015
30,0,0,1,0,0,0.000,0,0,0.000
31,3,1,3,4,30,0.144,1,0,0.270
32,1,0,2,0,3,0.046,0,0,0.046
33,1,0,2,0,0,0.015,0,0,0.015
34,1,0,2,0,3,0.042,0,0,0.042
35,0,0,1,0,0,0.000,0,0,0.000
36,1,0,2,0,1,0.025,0,0,0.025
37,1,0,2,0,0,0.010,0,0,0.010
38,1,0,2,0,2,0.031,0,0,0.031
39,8,4,4,7,61,0.106,4,0,0.245
40,1,0,2,0,3,0.055,0,0,0.055
41,0,0,1,0,0,0.000,0,0,0.000
42,1,0,2,0,0,0.015,0,0,0.015
43,1,0,2,0,1,0.021,0,0,0.021
44,0,0,1,0,0,0.000,0,0,0.000
45,1,0,2,0,2,0.031,0,0,0.031
46,1,0,2,0,1,0.025,0,0,0.025
47,0,0,1,0,0,0.000,0,0,0.000
48,1,0,2,0,0,0.010,0,0,0.010
49,0,0,1,0,0,0.000,0,0,0.000
50,0,0,1,0,0,0.000,0,0,0.000
51,3,1,3,4,41,0.171,1,0,0.236
52,1,0,2,0,3,0.046,0,0,0.046
53,0,0,1,0,0,0.000,0,0,0.000
54,1,0,2,0,0,0.010,0,0,0.010
55,1,0,2,0,2,0.036,0,0,0.036
56,0,0,1,0,0,0.000,0,0,0.000
57,1,0,2,0,10,0.132,0,0,0.132
58,1,0,2,0,12,0.140,0,0,0.140
59,1,0,2,0,6,0.090,0,0,0.090
60,1,0,2,0,0,0.015,0,0,0.015
61,1,0,2,0,5,0.075,0,0,0.075
62,1,0,2,0,6,0.099,0,0,0.099
63,17,8,10,23,158,0.134,8,0,0.416
64,1,0,2,0,1,0.021,0,0,0.021
