 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.010,0,0,0.010
2,1,0,2,0,0,0.010,0,0,0.010
3,1,0,2,0,0,0.015,0,0,0.015
4,1,0,2,0,0,0.010,0,0,0.010
5,3,1,3,3,12,0.068,1,0,0.086
6,1,0,2,0,0,0.015,0,0,0.015
7,7,3,4,14,49,0.116,2,1,0.169
8,1,0,2,0,1,0.025,0,0,0.025
9,1,0,2,0,7,0.101,0,0,0.101
10,1,0,2,0,0,0.010,0,0,0.010
11,1,0,2,0,0,0.010,0,0,0.010
12,1,0,2,0,1,0.021,0,0,0.021
13,1,0,2,0,0,0.010,0,0,0.010
14,1,0,2,0,0,0.010,0,0,0.010
15,9,4,5,17,58,0.107,3,1,0.213
16,1,0,2,0,2,0.040,0,0,0.040
17,1,0,2,0,0,0.010,0,0,0.010
18,1,0,2,0,1,0.029,0,0,0.029
19,1,0,2,0,7,0.101,0,0,0.101
20,1,0,2,0,6,0.082,0,0,0.082
21,1,0,2,0,1,0.025,0,0,0.025
22,1,0,2,0,2,0.040,0,0,0.040
23,1,0,2,0,1,0.025,0,0,0.025
24,1,0,2,0,1,0.025,0,0,0.025
25,3,1,3,4,16,0.084,1,0,0.107
26,0,0,1,0,0,0.000,0,0,0.000
27,1,0,2,0,1,0.025,0,0,0.025
28,1,0,2,0,1,0.025,0,0,0.025
29,1,0,2,0,0,0.010,0,0,0.010
30,0,0,1,0,0,0.000,0,0,0.000
31,1,0,2,0,1,0.021,0,0,0.021
32,0,0,1,0,0,0.000,0,0,0.000
33,1,0,2,0,6,0.086,0,0,0.086
34,1,0,2,0,1,0.025,0,0,0.025
35,1,0,2,0,0,0.010,0,0,0.010
36,1,0,2,0,0,0.010,0,0,0.010
37,1,0,2,0,13,0.172,0,0,0.172
38,1,0,2,0,0,0.015,0,0,0.015
39,1,0,2,0,2,0.036,0,0,0.036
40,1,0,2,0,2,0.031,0,0,0.031
41,1,0,2,0,1,0.021,0,0,0.021
42,1,0,2,0,1,0.025,0,0,0.025
43,0,0,1,0,0,0.000,0,0,0.000
44,1,0,2,0,0,0.015,0,0,0.015
45,1,0,2,0,3,0.050,0,0,0.050
46,1,0,2,0,0,0.010,0,0,0.010
47,1,0,2,0,2,0.044,0,0,0.044
48,0,0,1,0,0,0.000,0,0,0.000
49,3,1,3,4,18,0.093,1,0,0.182
50,0,0,1,0,0,0.000,0,0,0.000
51,0,0,1,0,0,0.000,0,0,0.000
52,5,2,2,4,3,0.019,0,2,0.036
53,3,1,3,3,8,0.051,1,0,0.090
54,1,0,2,0,0,0.015,0,0,0.015
55,0,0,1,0,0,0.000,0,0,0.000
56,1,0,2,0,0,0.010,0,0,0.010
57,1,0,2,0,2,0.040,0,0,0.040
58,1,0,2,0,3,0.046,0,0,0.046
59,0,0,1,0,0,0.000,0,0,0.000
60,1,0,2,0,0,0.015,0,0,0.015
61,17,7,11,29,144,0.132,5,2,0.234
