 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,5,2,4,5,24,0.078,2,0,0.124
2,1,0,2,0,6,0.086,0,0,0.086
3,4,2,2,6,27,0.111,2,0,0.247
4,1,0,2,0,0,0.010,0,0,0.010
5,3,1,3,4,25,0.120,1,0,0.176
6,1,0,2,0,0,0.010,0,0,0.010
7,1,0,2,0,1,0.021,0,0,0.021
8,1,0,2,0,6,0.086,0,0,0.086
9,0,0,1,0,0,0.000,0,0,0.000
10,1,0,2,0,0,0.010,0,0,0.010
11,7,3,5,9,78,0.158,3,0,0.301
12,1,0,2,0,1,0.021,0,0,0.021
13,5,2,4,7,21,0.074,2,0,0.136
14,0,0,1,0,0,0.000,0,0,0.000
15,0,0,1,0,0,0.000,0,0,0.000
16,1,0,2,0,0,0.010,0,0,0.010
17,1,0,2,0,10,0.132,0,0,0.132
18,1,0,2,0,6,0.086,0,0,0.086
19,3,1,3,3,4,0.040,1,0,0.065
20,5,2,3,6,19,0.065,1,1,0.136
21,1,0,2,0,14,0.191,0,0,0.191
22,1,0,2,0,0,0.010,0,0,0.010
23,1,0,2,0,1,0.021,0,0,0.021
24,1,0,2,0,2,0.036,0,0,0.036
25,3,1,3,4,4,0.039,1,0,0.046
26,1,0,2,0,3,0.050,0,0,0.050
27,1,0,2,0,0,0.010,0,0,0.010
28,1,0,2,0,5,0.080,0,0,0.080
29,0,0,1,0,0,0.000,0,0,0.000
30,1,0,2,0,3,0.046,0,0,0.046
31,12,6,5,25,120,0.145,5,1,0.349
32,1,0,2,0,0,0.010,0,0,0.010
33,7,3,5,11,62,0.132,3,0,0.268
34,1,0,2,0,0,0.015,0,0,0.015
35,4,1,3,7,7,0.062,0,0,0.080
36,0,0,1,0,0,0.000,0,0,0.000
37,1,0,2,0,0,0.015,0,0,0.015
38,1,0,2,0,7,0.092,0,0,0.092
39,1,0,2,0,0,0.010,0,0,0.010
40,1,0,2,0,1,0.025,0,0,0.025
41,0,0,1,0,0,0.000,0,0,0.000
42,1,0,2,0,2,0.040,0,0,0.040
43,1,0,2,0,3,0.055,0,0,0.055
44,1,0,2,0,2,0.036,0,0,0.036
45,1,0,2,0,0,0.010,0,0,0.010
46,1,0,2,0,4,0.069,0,0,0.069
47,1,0,2,0,1,0.029,0,0,0.029
48,1,0,2,0,8,0.111,0,0,0.111
49,0,0,1,0,0,0.000,0,0,0.000
50,1,0,2,0,20,0.249,0,0,0.249
51,1,0,2,0,5,0.080,0,0,0.080
52,1,0,2,0,1,0.021,0,0,0.021
53,1,0,2,0,0,0.010,0,0,0.010
54,8,3,6,14,88,0.157,2,1,0.255
55,1,0,2,0,0,0.015,0,0,0.015
56,1,0,2,0,3,0.050,0,0,0.050
57,1,0,2,0,0,0.010,0,0,0.010
58,0,0,1,0,0,0.000,0,0,0.000
59,1,0,2,0,7,0.092,0,0,0.092
60,0,0,1,0,0,0.000,0,0,0.000
61,1,0,2,0,7,0.092,0,0,0.092
62,3,1,3,1,13,0.067,1,0,0.084
63,1,0,2,0,0,0.010,0,0,0.010
64,1,0,2,0,0,0.015,0,0,0.015
65,1,0,2,0,4,0.065,0,0,0.065
66,1,0,2,0,3,0.046,0,0,0.046
67,0,0,1,0,0,0.000,0,0,0.000
68,1,0,2,0,0,0.010,0,0,0.010
69,1,0,2,0,1,0.029,0,0,0.029
70,1,0,2,0,2,0.036,0,0,0.036
71,1,0,2,0,0,0.015,0,0,0.015
72,0,0,1,0,0,0.000,0,0,0.000
73,1,0,2,0,0,0.010,0,0,0.010
74,1,0,2,0,3,0.050,0,0,0.050
75,1,0,2,0,3,0.046,0,0,0.046
76,0,0,1,0,0,0.000,0,0,0.000
77,1,0,2,0,2,0.031,0,0,0.031
78,0,0,1,0,0,0.000,0,0,0.000
79,3,1,3,3,18,0.096,1,0,0.241
80,1,0,2,0,1,0.021,0,0,0.021
81,1,0,2,0,0,0.015,0,0,0.015
82,1,0,2,0,0,0.010,0,0,0.010
83,8,3,6,13,34,0.079,2,1,0.221
84,3,1,3,4,5,0.047,1,0,0.094
85,1,0,2,0,1,0.021,0,0,0.021
86,0,0,1,0,0,0.000,0,0,0.000
87,1,0,2,0,1,0.025,0,0,0.025
88,0,0,1,0,0,0.000,0,0,0.000
89,1,0,2,0,3,0.046,0,0,0.046
90,1,0,2,0,1,0.021,0,0,0.021
91,1,0,2,0,1,0.029,0,0,0.029
92,1,0,2,0,1,0.025,0,0,0.025
93,1,0,2,0,3,0.050,0,0,0.050
94,6,2,5,6,24,0.071,1,1,0.209
95,1,0,2,0,7,0.092,0,0,0.092
96,1,0,2,0,4,0.061,0,0,0.061
97,1,0,2,0,1,0.029,0,0,0.029
98,1,0,2,0,0,0.010,0,0,0.010
99,1,0,2,0,1,0.025,0,0,0.025
100,1,0,2,0,3,0.055,0,0,0.055
101,0,0,1,0,0,0.000,0,0,0.000
102,1,0,2,0,1,0.021,0,0,0.021
103,3,1,3,4,7,0.054,1,0,0.086
104,0,0,1,0,0,0.000,0,0,0.000
105,0,0,1,0,0,0.000,0,0,0.000
106,1,0,2,0,26,0.355,0,0,0.355
107,0,0,1,0,0,0.000,0,0,0.000
108,7,3,5,10,18,0.054,3,0,0.094
109,0,0,1,0,0,0.000,0,0,0.000
110,1,0,2,0,0,0.010,0,0,0.010
111,1,0,2,0,0,0.010,0,0,0.010
112,5,2,4,8,18,0.071,2,0,0.092
113,0,0,1,0,0,0.000,0,0,0.000
114,1,0,2,0,4,0.052,0,0,0.052
115,9,5,3,16,45,0.090,5,0,0.212
116,0,0,1,0,0,0.000,0,0,0.000
117,1,0,2,0,0,0.010,0,0,0.010
118,1,0,2,0,1,0.025,0,0,0.025
119,1,0,2,0,1,0.025,0,0,0.025
120,1,0,2,0,3,0.046,0,0,0.046
121,1,0,2,0,16,0.212,0,0,0.212
122,1,0,2,0,2,0.036,0,0,0.036
123,1,0,2,0,22,0.287,0,0,0.287
124,0,0,1,0,0,0.000,0,0,0.000
125,16,8,8,23,68,0.072,8,0,0.284
126,1,0,2,0,1,0.025,0,0,0.025
127,1,0,2,0,9,0.117,0,0,0.117
128,5,2,4,7,43,0.123,2,0,0.239
129,1,0,2,0,1,0.025,0,0,0.025
130,0,0,1,0,0,0.000,0,0,0.000
131,1,0,2,0,20,0.275,0,0,0.275
132,1,0,2,0,1,0.021,0,0,0.021
133,1,0,2,0,0,0.010,0,0,0.010
134,1,0,2,0,3,0.046,0,0,0.046
135,1,0,2,0,6,0.090,0,0,0.090
136,1,0,2,0,0,0.010,0,0,0.010
137,1,0,2,0,7,0.092,0,0,0.092
138,1,0,2,0,0,0.010,0,0,0.010
139,1,0,2,0,0,0.015,0,0,0.015
140,0,0,1,0,0,0.000,0,0,0.000
141,3,1,3,4,8,0.055,1,0,0.090
142,1,0,2,0,1,0.021,0,0,0.021
143,1,0,2,0,2,0.040,0,0,0.040
144,1,0,2,0,14,0.174,0,0,0.174
145,3,1,2,6,6,0.061,0,1,0.088
146,0,0,1,0,0,0.000,0,0,0.000
147,1,0,2,0,0,0.010,0,0,0.010
148,1,0,2,0,0,0.015,0,0,0.015
149,1,0,2,0,2,0.036,0,0,0.036
150,1,0,2,0,4,0.061,0,0,0.061
151,1,0,2,0,7,0.092,0,0,0.092
152,1,0,2,0,3,0.050,0,0,0.050
153,3,1,3,3,18,0.088,1,0,0.092
154,3,1,3,4,3,0.034,1,0,0.040
155,1,0,2,0,4,0.061,0,0,0.061
156,5,2,4,5,10,0.045,2,0,0.101
157,1,0,2,0,6,0.077,0,0,0.077
158,1,0,2,0,1,0.029,0,0,0.029
159,1,0,2,0,0,0.010,0,0,0.010
160,1,0,2,0,1,0.021,0,0,0.021
161,0,0,1,0,0,0.000,0,0,0.000
162,1,0,2,0,5,0.071,0,0,0.071
163,1,0,2,0,6,0.086,0,0,0.086
164,1,0,2,0,1,0.025,0,0,0.025
165,1,0,2,0,4,0.065,0,0,0.065
166,3,1,3,3,26,0.123,1,0,0.197
