 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,0,0,1,0,0,0.000,0,0,0.000
2,7,3,4,14,26,0.077,2,1,0.121
3,1,0,2,0,7,0.105,0,0,0.105
4,1,0,2,0,2,0.031,0,0,0.031
5,63,30,30,112,381,0.101,24,6,0.467
6,0,0,1,0,0,0.000,0,0,0.000
7,3,1,3,1,23,0.102,1,0,0.226
8,3,1,2,2,21,0.096,0,1,0.268
9,1,0,2,0,0,0.010,0,0,0.010
10,1,0,2,0,3,0.050,0,0,0.050
11,1,0,2,0,0,0.010,0,0,0.010
12,1,0,2,0,0,0.010,0,0,0.010
13,1,0,2,0,0,0.010,0,0,0.010
14,7,3,5,6,41,0.087,3,0,0.174
15,1,0,2,0,6,0.086,0,0,0.086
16,1,0,2,0,1,0.025,0,0,0.025
17,1,0,2,0,6,0.082,0,0,0.082
18,1,0,2,0,1,0.021,0,0,0.021
19,1,0,2,0,6,0.086,0,0,0.086
20,1,0,2,0,4,0.056,0,0,0.056
21,3,1,3,3,24,0.127,1,0,0.225
22,1,0,2,0,6,0.086,0,0,0.086
23,1,0,2,0,6,0.077,0,0,0.077
24,1,0,2,0,3,0.046,0,0,0.046
25,1,0,2,0,11,0.142,0,0,0.142
26,1,0,2,0,2,0.036,0,0,0.036
27,1,0,2,0,2,0.040,0,0,0.040
28,1,0,2,0,0,0.010,0,0,0.010
29,0,0,1,0,0,0.000,0,0,0.000
30,1,0,2,0,0,0.010,0,0,0.010
31,3,1,3,3,5,0.042,1,0,0.065
32,1,0,2,0,5,0.075,0,0,0.075
33,6,2,5,9,38,0.105,1,1,0.146
34,1,0,2,0,10,0.123,0,0,0.123
35,1,0,2,0,1,0.025,0,0,0.025
36,1,0,2,0,0,0.015,0,0,0.015
37,1,0,2,0,6,0.090,0,0,0.090
38,3,1,3,3,25,0.119,1,0,0.207
39,1,0,2,0,0,0.015,0,0,0.015
40,1,0,2,0,4,0.069,0,0,0.069
41,1,0,2,0,11,0.151,0,0,0.151
42,1,0,2,0,4,0.061,0,0,0.061
43,1,0,2,0,0,0.015,0,0,0.015
44,1,0,2,0,9,0.121,0,0,0.121
45,1,0,2,0,1,0.021,0,0,0.021
46,0,0,1,0,0,0.000,0,0,0.000
47,0,0,1,0,0,0.000,0,0,0.000
48,1,0,2,0,5,0.067,0,0,0.067
49,0,0,1,0,0,0.000,0,0,0.000
50,1,0,2,0,3,0.055,0,0,0.055
51,1,0,2,0,1,0.025,0,0,0.025
52,1,0,2,0,1,0.025,0,0,0.025
53,1,0,2,0,0,0.015,0,0,0.015
54,1,0,2,0,16,0.216,0,0,0.216
55,3,1,3,3,45,0.204,1,0,0.490
56,1,0,2,0,7,0.092,0,0,0.092
57,1,0,2,0,2,0.036,0,0,0.036
58,1,0,2,0,0,0.010,0,0,0.010
59,1,0,2,0,0,0.010,0,0,0.010
60,1,0,2,0,0,0.015,0,0,0.015
61,3,1,3,4,37,0.171,1,0,0.274
62,1,0,2,0,3,0.055,0,0,0.055
63,1,0,2,0,1,0.021,0,0,0.021
64,1,0,2,0,1,0.029,0,0,0.029
65,0,0,1,0,0,0.000,0,0,0.000
66,0,0,1,0,0,0.000,0,0,0.000
67,1,0,2,0,6,0.086,0,0,0.086
68,1,0,2,0,1,0.029,0,0,0.029
69,1,0,2,0,1,0.021,0,0,0.021
70,3,1,3,4,16,0.091,1,0,0.191
71,1,0,2,0,12,0.161,0,0,0.161
72,1,0,2,0,1,0.025,0,0,0.025
73,1,0,2,0,0,0.015,0,0,0.015
74,71,33,33,133,393,0.096,25,6,0.519
75,3,1,3,3,7,0.045,1,0,0.056
76,0,0,1,0,0,0.000,0,0,0.000
77,1,0,2,0,12,0.166,0,0,0.166
78,1,0,2,0,0,0.010,0,0,0.010
79,1,0,2,0,3,0.050,0,0,0.050
80,1,0,2,0,2,0.036,0,0,0.036
81,1,0,2,0,0,0.010,0,0,0.010
82,1,0,2,0,1,0.025,0,0,0.025
83,1,0,2,0,6,0.082,0,0,0.082
84,1,0,2,0,0,0.015,0,0,0.015
85,0,0,1,0,0,0.000,0,0,0.000
86,1,0,2,0,1,0.021,0,0,0.021
87,1,0,2,0,0,0.010,0,0,0.010
88,1,0,2,0,4,0.061,0,0,0.061
89,1,0,2,0,2,0.040,0,0,0.040
90,1,0,2,0,0,0.010,0,0,0.010
91,1,0,2,0,1,0.025,0,0,0.025
92,3,1,3,1,16,0.080,1,0,0.111
93,1,0,2,0,0,0.010,0,0,0.010
94,3,1,3,4,24,0.120,1,0,0.132
95,1,0,2,0,7,0.109,0,0,0.109
96,3,1,3,3,30,0.139,1,0,0.234
97,1,0,2,0,4,0.056,0,0,0.056
98,1,0,2,0,0,0.010,0,0,0.010
99,1,0,2,0,2,0.031,0,0,0.031
100,1,0,2,0,0,0.010,0,0,0.010
101,3,1,3,5,8,0.061,1,0,0.090
102,1,0,2,0,1,0.021,0,0,0.021
103,7,3,4,10,51,0.106,2,1,0.295
104,1,0,2,0,3,0.055,0,0,0.055
105,1,0,2,0,2,0.036,0,0,0.036
106,1,0,2,0,0,0.010,0,0,0.010
