 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,11,5,7,13,68,0.093,5,0,0.157
2,1,0,2,0,17,0.218,0,0,0.218
3,1,0,2,0,0,0.015,0,0,0.015
4,1,0,2,0,0,0.010,0,0,0.010
5,1,0,2,0,0,0.010,0,0,0.010
6,1,0,2,0,2,0.036,0,0,0.036
7,0,0,1,0,0,0.000,0,0,0.000
8,1,0,2,0,1,0.025,0,0,0.025
9,3,1,2,2,15,0.074,0,1,0.182
10,25,12,13,39,196,0.119,11,1,0.314
11,0,0,1,0,0,0.000,0,0,0.000
12,12,6,6,17,121,0.148,6,0,0.388
13,1,0,2,0,1,0.025,0,0,0.025
14,1,0,2,0,0,0.010,0,0,0.010
15,1,0,2,0,12,0.157,0,0,0.157
16,1,0,2,0,0,0.010,0,0,0.010
17,1,0,2,0,23,0.297,0,0,0.297
18,1,0,2,0,20,0.245,0,0,0.245
19,1,0,2,0,2,0.031,0,0,0.031
20,1,0,2,0,16,0.212,0,0,0.212
21,1,0,2,0,3,0.046,0,0,0.046
22,1,0,2,0,3,0.050,0,0,0.050
23,0,0,1,0,0,0.000,0,0,0.000
24,0,0,1,0,0,0.000,0,0,0.000
25,1,0,2,0,5,0.067,0,0,0.067
26,1,0,2,0,7,0.101,0,0,0.101
27,1,0,2,0,8,0.107,0,0,0.107
28,1,0,2,0,3,0.046,0,0,0.046
29,1,0,2,0,3,0.042,0,0,0.042
30,0,0,1,0,0,0.000,0,0,0.000
31,3,1,3,3,31,0.147,1,0,0.166
32,1,0,2,0,0,0.010,0,0,0.010
33,1,0,2,0,0,0.010,0,0,0.010
34,1,0,2,0,2,0.031,0,0,0.031
35,1,0,2,0,1,0.025,0,0,0.025
36,17,7,10,32,204,0.176,5,1,0.691
37,1,0,2,0,1,0.025,0,0,0.025
38,1,0,2,0,0,0.010,0,0,0.010
39,1,0,2,0,2,0.031,0,0,0.031
40,1,0,2,0,2,0.040,0,0,0.040
41,1,0,2,0,2,0.031,0,0,0.031
42,1,0,2,0,4,0.065,0,0,0.065
43,1,0,2,0,14,0.191,0,0,0.191
44,1,0,2,0,2,0.044,0,0,0.044
45,1,0,2,0,3,0.046,0,0,0.046
46,1,0,2,0,7,0.096,0,0,0.096
47,3,1,3,3,46,0.200,1,0,0.443
48,1,0,2,0,1,0.021,0,0,0.021
49,1,0,2,0,0,0.015,0,0,0.015
50,0,0,1,0,0,0.000,0,0,0.000
51,1,0,2,0,6,0.082,0,0,0.082
52,1,0,2,0,6,0.094,0,0,0.094
53,1,0,2,0,7,0.088,0,0,0.088
54,0,0,1,0,0,0.000,0,0,0.000
55,1,0,2,0,9,0.134,0,0,0.134
56,1,0,2,0,4,0.065,0,0,0.065
