 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.010,0,0,0.010
2,1,0,2,0,8,0.124,0,0,0.124
3,1,0,2,0,6,0.082,0,0,0.082
4,1,0,2,0,2,0.040,0,0,0.040
5,1,0,2,0,0,0.010,0,0,0.010
6,1,0,2,0,1,0.021,0,0,0.021
7,0,0,1,0,0,0.000,0,0,0.000
8,1,0,2,0,4,0.056,0,0,0.056
9,1,0,2,0,1,0.021,0,0,0.021
10,1,0,2,0,0,0.015,0,0,0.015
11,1,0,2,0,0,0.010,0,0,0.010
12,3,1,2,2,6,0.034,0,1,0.061
13,3,1,3,4,43,0.206,1,0,0.350
14,1,0,2,0,12,0.148,0,0,0.148
15,1,0,2,0,0,0.015,0,0,0.015
16,0,0,1,0,0,0.000,0,0,0.000
17,1,0,2,0,0,0.010,0,0,0.010
18,1,0,2,0,4,0.061,0,0,0.061
19,0,0,1,0,0,0.000,0,0,0.000
20,1,0,2,0,15,0.184,0,0,0.184
21,3,1,3,3,22,0.111,1,0,0.247
22,1,0,2,0,2,0.040,0,0,0.040
23,1,0,2,0,0,0.010,0,0,0.010
24,1,0,2,0,0,0.010,0,0,0.010
25,5,1,3,11,33,0.126,0,0,0.243
26,1,0,2,0,4,0.061,0,0,0.061
27,1,0,2,0,1,0.025,0,0,0.025
28,1,0,2,0,0,0.010,0,0,0.010
29,1,0,2,0,1,0.025,0,0,0.025
30,1,0,2,0,1,0.021,0,0,0.021
31,1,0,2,0,3,0.046,0,0,0.046
32,1,0,2,0,0,0.010,0,0,0.010
33,1,0,2,0,1,0.021,0,0,0.021
34,1,0,2,0,0,0.010,0,0,0.010
35,1,0,2,0,3,0.050,0,0,0.050
36,0,0,1,0,0,0.000,0,0,0.000
37,1,0,2,0,1,0.021,0,0,0.021
38,1,0,2,0,0,0.015,0,0,0.015
39,1,0,2,0,0,0.010,0,0,0.010
40,1,0,2,0,0,0.010,0,0,0.010
41,1,0,2,0,1,0.025,0,0,0.025
42,1,0,2,0,5,0.084,0,0,0.084
43,1,0,2,0,11,0.155,0,0,0.155
44,1,0,2,0,0,0.010,0,0,0.010
45,1,0,2,0,20,0.245,0,0,0.245
46,1,0,2,0,2,0.040,0,0,0.040
47,1,0,2,0,0,0.010,0,0,0.010
48,7,3,5,6,50,0.102,3,0,0.213
49,1,0,2,0,27,0.374,0,0,0.374
50,1,0,2,0,3,0.046,0,0,0.046
51,1,0,2,0,11,0.134,0,0,0.134
52,1,0,2,0,5,0.067,0,0,0.067
53,1,0,2,0,1,0.025,0,0,0.025
54,1,0,2,0,11,0.129,0,0,0.129
55,1,0,2,0,1,0.025,0,0,0.025
56,1,0,2,0,2,0.040,0,0,0.040
57,1,0,2,0,8,0.102,0,0,0.102
58,0,0,1,0,0,0.000,0,0,0.000
59,1,0,2,0,1,0.021,0,0,0.021
60,5,2,4,7,46,0.136,2,0,0.312
61,1,0,2,0,13,0.167,0,0,0.167
62,17,8,8,27,99,0.094,6,2,0.277
63,0,0,1,0,0,0.000,0,0,0.000
64,5,2,4,6,19,0.068,2,0,0.193
65,1,0,2,0,1,0.025,0,0,0.025
66,1,0,2,0,0,0.010,0,0,0.010
67,1,0,2,0,2,0.036,0,0,0.036
68,0,0,1,0,0,0.000,0,0,0.000
69,1,0,2,0,3,0.050,0,0,0.050
70,1,0,2,0,3,0.046,0,0,0.046
71,1,0,2,0,2,0.036,0,0,0.036
72,1,0,2,0,2,0.040,0,0,0.040
73,0,0,1,0,0,0.000,0,0,0.000
74,1,0,2,0,1,0.025,0,0,0.025
75,1,0,2,0,2,0.031,0,0,0.031
76,0,0,1,0,0,0.000,0,0,0.000
77,1,0,2,0,6,0.099,0,0,0.099
78,7,3,5,10,25,0.069,3,0,0.166
79,3,1,3,1,13,0.073,1,0,0.155
80,1,0,2,0,1,0.021,0,0,0.021
81,1,0,2,0,1,0.025,0,0,0.025
82,1,0,2,0,2,0.040,0,0,0.040
83,1,0,2,0,0,0.010,0,0,0.010
84,1,0,2,0,6,0.090,0,0,0.090
85,0,0,1,0,0,0.000,0,0,0.000
86,1,0,2,0,1,0.025,0,0,0.025
87,1,0,2,0,0,0.010,0,0,0.010
88,1,0,2,0,1,0.021,0,0,0.021
89,1,0,2,0,4,0.061,0,0,0.061
90,1,0,2,0,4,0.052,0,0,0.052
91,8,3,6,7,55,0.103,2,1,0.289
92,1,0,2,0,0,0.010,0,0,0.010
93,1,0,2,0,1,0.021,0,0,0.021
94,1,0,2,0,0,0.015,0,0,0.015
95,1,0,2,0,1,0.021,0,0,0.021
96,1,0,2,0,0,0.010,0,0,0.010
97,1,0,2,0,8,0.098,0,0,0.098
98,0,0,1,0,0,0.000,0,0,0.000
99,0,0,1,0,0,0.000,0,0,0.000
100,1,0,2,0,2,0.044,0,0,0.044
101,3,1,2,2,9,0.047,0,1,0.086
102,0,0,1,0,0,0.000,0,0,0.000
103,1,0,2,0,3,0.042,0,0,0.042
104,1,0,2,0,3,0.046,0,0,0.046
105,1,0,2,0,6,0.086,0,0,0.086
106,1,0,2,0,0,0.010,0,0,0.010
107,1,0,2,0,2,0.044,0,0,0.044
108,1,0,2,0,7,0.105,0,0,0.105
109,4,1,4,7,20,0.092,0,1,0.142
110,1,0,2,0,3,0.046,0,0,0.046
111,1,0,2,0,1,0.025,0,0,0.025
112,1,0,2,0,3,0.042,0,0,0.042
113,0,0,1,0,0,0.000,0,0,0.000
114,1,0,2,0,0,0.015,0,0,0.015
115,1,0,2,0,0,0.010,0,0,0.010
116,1,0,2,0,0,0.010,0,0,0.010
117,1,0,2,0,5,0.075,0,0,0.075
118,1,0,2,0,2,0.036,0,0,0.036
119,1,0,2,0,15,0.201,0,0,0.201
120,1,0,2,0,1,0.029,0,0,0.029
121,1,0,2,0,3,0.050,0,0,0.050
122,5,2,3,5,42,0.118,1,1,0.213
123,1,0,2,0,4,0.069,0,0,0.069
124,1,0,2,0,0,0.015,0,0,0.015
125,1,0,2,0,1,0.021,0,0,0.021
126,1,0,2,0,1,0.025,0,0,0.025
127,1,0,2,0,0,0.010,0,0,0.010
128,1,0,2,0,0,0.015,0,0,0.015
129,0,0,1,0,0,0.000,0,0,0.000
130,3,1,3,4,6,0.048,1,0,0.080
131,1,0,2,0,18,0.237,0,0,0.237
132,5,2,4,7,60,0.166,2,0,0.434
133,0,0,1,0,0,0.000,0,0,0.000
134,1,0,2,0,10,0.128,0,0,0.128
135,1,0,2,0,0,0.010,0,0,0.010
