 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,2,0.031,0,0,0.031
2,5,2,4,8,10,0.051,2,0,0.077
3,1,0,2,0,24,0.295,0,0,0.295
4,3,1,3,4,19,0.103,1,0,0.186
5,43,20,21,77,295,0.111,16,3,0.358
6,1,0,2,0,2,0.036,0,0,0.036
7,3,1,3,3,23,0.112,1,0,0.264
8,27,13,12,48,169,0.105,10,3,0.225
9,1,0,2,0,0,0.010,0,0,0.010
10,3,1,3,4,6,0.050,1,0,0.101
11,1,0,2,0,0,0.010,0,0,0.010
12,1,0,2,0,0,0.010,0,0,0.010
13,1,0,2,0,7,0.101,0,0,0.101
14,1,0,2,0,6,0.086,0,0,0.086
15,5,2,4,6,22,0.077,2,0,0.180
16,1,0,2,0,1,0.029,0,0,0.029
17,3,1,3,4,2,0.034,1,0,0.055
18,1,0,2,0,1,0.021,0,0,0.021
19,1,0,2,0,6,0.077,0,0,0.077
20,1,0,2,0,11,0.155,0,0,0.155
21,0,0,1,0,0,0.000,0,0,0.000
22,1,0,2,0,5,0.080,0,0,0.080
23,1,0,2,0,0,0.015,0,0,0.015
24,0,0,1,0,0,0.000,0,0,0.000
25,4,1,4,6,10,0.067,0,1,0.107
26,1,0,2,0,4,0.061,0,0,0.061
27,0,0,1,0,0,0.000,0,0,0.000
28,1,0,2,0,3,0.055,0,0,0.055
29,1,0,2,0,0,0.010,0,0,0.010
30,1,0,2,0,0,0.015,0,0,0.015
31,1,0,2,0,2,0.031,0,0,0.031
32,4,1,4,5,20,0.084,0,1,0.166
33,1,0,2,0,1,0.021,0,0,0.021
34,1,0,2,0,3,0.046,0,0,0.046
35,1,0,2,0,4,0.061,0,0,0.061
36,0,0,1,0,0,0.000,0,0,0.000
37,1,0,2,0,9,0.108,0,0,0.108
38,1,0,2,0,7,0.101,0,0,0.101
39,0,0,1,0,0,0.000,0,0,0.000
40,0,0,1,0,0,0.000,0,0,0.000
41,1,0,2,0,0,0.015,0,0,0.015
42,1,0,2,0,5,0.080,0,0,0.080
43,1,0,2,0,14,0.191,0,0,0.191
44,1,0,2,0,5,0.084,0,0,0.084
45,1,0,2,0,8,0.120,0,0,0.120
46,1,0,2,0,6,0.086,0,0,0.086
47,0,0,1,0,0,0.000,0,0,0.000
48,1,0,2,0,4,0.061,0,0,0.061
49,1,0,2,0,4,0.056,0,0,0.056
50,1,0,2,0,1,0.021,0,0,0.021
51,1,0,2,0,0,0.010,0,0,0.010
52,5,2,3,11,47,0.149,1,1,0.232
53,1,0,2,0,3,0.046,0,0,0.046
54,4,1,4,7,19,0.095,0,1,0.123
55,1,0,2,0,0,0.015,0,0,0.015
56,1,0,2,0,0,0.010,0,0,0.010
57,1,0,2,0,5,0.071,0,0,0.071
58,0,0,1,0,0,0.000,0,0,0.000
59,1,0,2,0,1,0.021,0,0,0.021
60,1,0,2,0,8,0.111,0,0,0.111
61,0,0,1,0,0,0.000,0,0,0.000
62,1,0,2,0,7,0.109,0,0,0.109
63,1,0,2,0,0,0.015,0,0,0.015
64,1,0,2,0,1,0.021,0,0,0.021
65,1,0,2,0,2,0.036,0,0,0.036
66,0,0,1,0,0,0.000,0,0,0.000
67,1,0,2,0,3,0.055,0,0,0.055
68,1,0,2,0,2,0.040,0,0,0.040
69,31,15,14,50,234,0.118,13,1,0.372
70,1,0,2,0,1,0.029,0,0,0.029
71,1,0,2,0,8,0.115,0,0,0.115
72,1,0,2,0,1,0.025,0,0,0.025
73,1,0,2,0,4,0.061,0,0,0.061
74,0,0,1,0,0,0.000,0,0,0.000
75,0,0,1,0,0,0.000,0,0,0.000
76,0,0,1,0,0,0.000,0,0,0.000
77,1,0,2,0,8,0.107,0,0,0.107
78,1,0,2,0,0,0.010,0,0,0.010
79,1,0,2,0,6,0.090,0,0,0.090
80,1,0,2,0,2,0.036,0,0,0.036
81,1,0,2,0,12,0.157,0,0,0.157
82,1,0,2,0,13,0.180,0,0,0.180
83,1,0,2,0,39,0.537,0,0,0.537
84,1,0,2,0,1,0.029,0,0,0.029
85,0,0,1,0,0,0.000,0,0,0.000
86,1,0,2,0,1,0.025,0,0,0.025
87,1,0,2,0,0,0.015,0,0,0.015
88,0,0,1,0,0,0.000,0,0,0.000
89,1,0,2,0,27,0.339,0,0,0.339
90,1,0,2,0,1,0.021,0,0,0.021
91,1,0,2,0,1,0.025,0,0,0.025
92,1,0,2,0,7,0.105,0,0,0.105
93,3,1,3,3,3,0.031,1,0,0.046
94,1,0,2,0,0,0.015,0,0,0.015
95,1,0,2,0,1,0.021,0,0,0.021
96,3,1,3,4,21,0.112,1,0,0.170
97,0,0,1,0,0,0.000,0,0,0.000
98,0,0,1,0,0,0.000,0,0,0.000
99,1,0,2,0,0,0.010,0,0,0.010
100,1,0,2,0,0,0.010,0,0,0.010
101,0,0,1,0,0,0.000,0,0,0.000
102,1,0,2,0,17,0.222,0,0,0.222
103,1,0,2,0,0,0.015,0,0,0.015
104,0,0,1,0,0,0.000,0,0,0.000
105,1,0,2,0,1,0.021,0,0,0.021
106,3,1,3,4,31,0.149,1,0,0.239
107,3,1,3,1,14,0.072,1,0,0.145
108,3,1,3,3,5,0.038,1,0,0.067
109,1,0,2,0,0,0.015,0,0,0.015
110,1,0,2,0,1,0.021,0,0,0.021
111,1,0,2,0,1,0.025,0,0,0.025
112,1,0,2,0,0,0.015,0,0,0.015
113,1,0,2,0,5,0.075,0,0,0.075
114,1,0,2,0,1,0.025,0,0,0.025
115,1,0,2,0,1,0.025,0,0,0.025
116,1,0,2,0,9,0.121,0,0,0.121
117,1,0,2,0,3,0.050,0,0,0.050
118,1,0,2,0,3,0.050,0,0,0.050
119,1,0,2,0,2,0.036,0,0,0.036
120,1,0,2,0,3,0.042,0,0,0.042
121,0,0,1,0,0,0.000,0,0,0.000
122,1,0,2,0,1,0.021,0,0,0.021
123,1,0,2,0,1,0.021,0,0,0.021
124,0,0,1,0,0,0.000,0,0,0.000
125,1,0,2,0,0,0.010,0,0,0.010
126,1,0,2,0,2,0.036,0,0,0.036
127,0,0,1,0,0,0.000,0,0,0.000
128,1,0,2,0,3,0.046,0,0,0.046
129,1,0,2,0,1,0.025,0,0,0.025
130,1,0,2,0,0,0.010,0,0,0.010
131,0,0,1,0,0,0.000,0,0,0.000
132,1,0,2,0,1,0.025,0,0,0.025
133,1,0,2,0,0,0.010,0,0,0.010
134,0,0,1,0,0,0.000,0,0,0.000
135,1,0,2,0,1,0.025,0,0,0.025
136,0,0,1,0,0,0.000,0,0,0.000
137,1,0,2,0,9,0.139,0,0,0.139
138,1,0,2,0,0,0.010,0,0,0.010
139,1,0,2,0,0,0.010,0,0,0.010
140,0,0,1,0,0,0.000,0,0,0.000
141,0,0,1,0,0,0.000,0,0,0.000
