 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,4,0.065,0,0,0.065
2,1,0,2,0,1,0.021,0,0,0.021
3,1,0,2,0,7,0.088,0,0,0.088
4,1,0,2,0,4,0.061,0,0,0.061
5,1,0,2,0,0,0.010,0,0,0.010
6,0,0,1,0,0,0.000,0,0,0.000
7,7,3,5,9,30,0.073,3,0,0.169
8,1,0,2,0,4,0.069,0,0,0.069
9,1,0,2,0,1,0.025,0,0,0.025
10,1,0,2,0,1,0.021,0,0,0.021
11,28,14,14,44,251,0.133,14,0,0.449
12,41,20,17,63,283,0.114,16,3,0.295
13,1,0,2,0,0,0.010,0,0,0.010
14,1,0,2,0,2,0.036,0,0,0.036
15,0,0,1,0,0,0.000,0,0,0.000
16,0,0,1,0,0,0.000,0,0,0.000
17,1,0,2,0,4,0.061,0,0,0.061
18,1,0,2,0,4,0.061,0,0,0.061
19,1,0,2,0,2,0.044,0,0,0.044
20,1,0,2,0,1,0.025,0,0,0.025
21,1,0,2,0,0,0.010,0,0,0.010
22,1,0,2,0,9,0.126,0,0,0.126
23,1,0,2,0,0,0.010,0,0,0.010
24,0,0,1,0,0,0.000,0,0,0.000
25,1,0,2,0,0,0.010,0,0,0.010
26,1,0,2,0,0,0.015,0,0,0.015
27,0,0,1,0,0,0.000,0,0,0.000
28,0,0,1,0,0,0.000,0,0,0.000
29,1,0,2,0,1,0.021,0,0,0.021
30,7,3,5,7,59,0.121,3,0,0.270
31,1,0,2,0,4,0.065,0,0,0.065
32,1,0,2,0,1,0.021,0,0,0.021
33,1,0,2,0,3,0.050,0,0,0.050
34,1,0,2,0,8,0.120,0,0,0.120
35,1,0,2,0,6,0.077,0,0,0.077
36,11,4,7,24,71,0.107,2,1,0.436
37,0,0,1,0,0,0.000,0,0,0.000
38,3,1,3,5,8,0.056,1,0,0.082
39,0,0,1,0,0,0.000,0,0,0.000
40,1,0,2,0,0,0.010,0,0,0.010
41,1,0,2,0,0,0.010,0,0,0.010
42,3,1,3,3,2,0.027,1,0,0.036
43,1,0,2,0,0,0.015,0,0,0.015
44,1,0,2,0,1,0.025,0,0,0.025
45,1,0,2,0,0,0.015,0,0,0.015
46,1,0,2,0,1,0.025,0,0,0.025
47,1,0,2,0,2,0.040,0,0,0.040
48,1,0,2,0,7,0.088,0,0,0.088
49,1,0,2,0,2,0.040,0,0,0.040
50,1,0,2,0,1,0.025,0,0,0.025
51,1,0,2,0,6,0.086,0,0,0.086
52,1,0,2,0,1,0.025,0,0,0.025
53,1,0,2,0,1,0.029,0,0,0.029
54,1,0,2,0,2,0.036,0,0,0.036
55,1,0,2,0,5,0.075,0,0,0.075
56,0,0,1,0,0,0.000,0,0,0.000
57,3,1,3,4,10,0.063,1,0,0.107
58,1,0,2,0,1,0.021,0,0,0.021
59,1,0,2,0,9,0.108,0,0,0.108
60,1,0,2,0,4,0.065,0,0,0.065
61,1,0,2,0,1,0.029,0,0,0.029
62,3,1,3,4,18,0.098,1,0,0.186
63,1,0,2,0,0,0.015,0,0,0.015
64,1,0,2,0,7,0.101,0,0,0.101
65,1,0,2,0,2,0.031,0,0,0.031
66,1,0,2,0,3,0.046,0,0,0.046
67,1,0,2,0,0,0.010,0,0,0.010
68,19,9,10,30,131,0.108,8,1,0.228
69,1,0,2,0,0,0.015,0,0,0.015
70,0,0,1,0,0,0.000,0,0,0.000
71,0,0,1,0,0,0.000,0,0,0.000
72,3,1,3,3,16,0.087,1,0,0.101
73,1,0,2,0,0,0.010,0,0,0.010
74,1,0,2,0,1,0.025,0,0,0.025
75,1,0,2,0,0,0.015,0,0,0.015
76,1,0,2,0,10,0.140,0,0,0.140
77,0,0,1,0,0,0.000,0,0,0.000
78,3,1,3,3,2,0.030,1,0,0.036
79,1,0,2,0,1,0.025,0,0,0.025
80,1,0,2,0,0,0.015,0,0,0.015
81,3,1,3,1,44,0.189,1,0,0.339
82,0,0,1,0,0,0.000,0,0,0.000
83,1,0,2,0,1,0.021,0,0,0.021
84,1,0,2,0,0,0.010,0,0,0.010
85,0,0,1,0,0,0.000,0,0,0.000
86,3,1,3,4,24,0.126,1,0,0.186
87,1,0,2,0,0,0.015,0,0,0.015
88,1,0,2,0,2,0.044,0,0,0.044
89,1,0,2,0,0,0.010,0,0,0.010
90,1,0,2,0,0,0.010,0,0,0.010
91,1,0,2,0,1,0.029,0,0,0.029
92,1,0,2,0,1,0.021,0,0,0.021
93,3,1,3,3,12,0.071,1,0,0.136
94,1,0,2,0,1,0.021,0,0,0.021
95,1,0,2,0,3,0.046,0,0,0.046
96,1,0,2,0,7,0.096,0,0,0.096
97,0,0,1,0,0,0.000,0,0,0.000
98,1,0,2,0,3,0.050,0,0,0.050
