 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,7,0.101,0,0,0.101
2,1,0,2,0,0,0.010,0,0,0.010
3,1,0,2,0,0,0.010,0,0,0.010
4,1,0,2,0,16,0.207,0,0,0.207
5,1,0,2,0,2,0.036,0,0,0.036
6,1,0,2,0,1,0.021,0,0,0.021
7,3,1,3,3,7,0.053,1,0,0.061
8,1,0,2,0,0,0.010,0,0,0.010
9,1,0,2,0,4,0.056,0,0,0.056
10,1,0,2,0,0,0.010,0,0,0.010
11,1,0,2,0,1,0.025,0,0,0.025
12,1,0,2,0,2,0.040,0,0,0.040
13,3,1,3,3,21,0.105,1,0,0.178
14,1,0,2,0,0,0.010,0,0,0.010
15,1,0,2,0,0,0.015,0,0,0.015
16,1,0,2,0,11,0.134,0,0,0.134
17,1,0,2,0,0,0.010,0,0,0.010
18,1,0,2,0,1,0.021,0,0,0.021
19,1,0,2,0,0,0.010,0,0,0.010
20,1,0,2,0,0,0.015,0,0,0.015
21,0,0,1,0,0,0.000,0,0,0.000
22,1,0,2,0,0,0.010,0,0,0.010
23,1,0,2,0,1,0.021,0,0,0.021
24,1,0,2,0,1,0.025,0,0,0.025
25,1,0,2,0,2,0.036,0,0,0.036
26,1,0,2,0,1,0.025,0,0,0.025
27,1,0,2,0,2,0.036,0,0,0.036
28,1,0,2,0,1,0.021,0,0,0.021
29,1,0,2,0,0,0.015,0,0,0.015
30,32,15,13,64,134,0.085,11,2,0.247
31,0,0,1,0,0,0.000,0,0,0.000
32,1,0,2,0,5,0.062,0,0,0.062
33,1,0,2,0,1,0.021,0,0,0.021
34,1,0,2,0,2,0.036,0,0,0.036
35,1,0,2,0,0,0.010,0,0,0.010
36,1,0,2,0,0,0.010,0,0,0.010
37,1,0,2,0,0,0.015,0,0,0.015
38,1,0,2,0,0,0.015,0,0,0.015
39,0,0,1,0,0,0.000,0,0,0.000
40,0,0,1,0,0,0.000,0,0,0.000
41,3,1,3,4,35,0.165,1,0,0.197
42,1,0,2,0,8,0.115,0,0,0.115
43,1,0,2,0,0,0.010,0,0,0.010
44,3,1,3,4,15,0.082,1,0,0.107
45,1,0,2,0,6,0.082,0,0,0.082
46,1,0,2,0,6,0.090,0,0,0.090
47,0,0,1,0,0,0.000,0,0,0.000
48,0,0,1,0,0,0.000,0,0,0.000
49,1,0,2,0,1,0.029,0,0,0.029
50,1,0,2,0,3,0.046,0,0,0.046
51,1,0,2,0,3,0.055,0,0,0.055
52,1,0,2,0,6,0.086,0,0,0.086
53,1,0,2,0,1,0.025,0,0,0.025
54,1,0,2,0,10,0.128,0,0,0.128
55,1,0,2,0,3,0.050,0,0,0.050
56,1,0,2,0,1,0.021,0,0,0.021
57,4,1,4,4,18,0.079,0,1,0.107
58,1,0,2,0,1,0.025,0,0,0.025
59,1,0,2,0,1,0.025,0,0,0.025
60,1,0,2,0,0,0.015,0,0,0.015
61,1,0,2,0,1,0.021,0,0,0.021
62,1,0,2,0,0,0.010,0,0,0.010
63,1,0,2,0,3,0.050,0,0,0.050
64,1,0,2,0,1,0.029,0,0,0.029
65,0,0,1,0,0,0.000,0,0,0.000
66,1,0,2,0,3,0.055,0,0,0.055
67,0,0,1,0,0,0.000,0,0,0.000
68,1,0,2,0,3,0.050,0,0,0.050
69,1,0,2,0,0,0.015,0,0,0.015
70,1,0,2,0,8,0.107,0,0,0.107
71,1,0,2,0,0,0.010,0,0,0.010
72,1,0,2,0,1,0.025,0,0,0.025
73,1,0,2,0,5,0.084,0,0,0.084
74,0,0,1,0,0,0.000,0,0,0.000
75,1,0,2,0,1,0.021,0,0,0.021
76,1,0,2,0,1,0.021,0,0,0.021
77,1,0,2,0,3,0.046,0,0,0.046
78,0,0,1,0,0,0.000,0,0,0.000
79,3,1,3,3,16,0.086,1,0,0.105
80,0,0,1,0,0,0.000,0,0,0.000
81,1,0,2,0,1,0.021,0,0,0.021
82,1,0,2,0,1,0.021,0,0,0.021
83,1,0,2,0,3,0.046,0,0,0.046
84,1,0,2,0,4,0.061,0,0,0.061
85,1,0,2,0,1,0.029,0,0,0.029
86,1,0,2,0,0,0.015,0,0,0.015
87,3,1,3,4,23,0.114,1,0,0.142
88,1,0,2,0,0,0.015,0,0,0.015
89,1,0,2,0,0,0.010,0,0,0.010
90,1,0,2,0,0,0.015,0,0,0.015
91,0,0,1,0,0,0.000,0,0,0.000
92,1,0,2,0,2,0.040,0,0,0.040
93,1,0,2,0,0,0.015,0,0,0.015
94,3,1,3,1,21,0.096,1,0,0.163
95,1,0,2,0,8,0.111,0,0,0.111
96,1,0,2,0,4,0.069,0,0,0.069
97,0,0,1,0,0,0.000,0,0,0.000
98,1,0,2,0,1,0.025,0,0,0.025
99,1,0,2,0,6,0.090,0,0,0.090
100,3,1,3,4,2,0.032,1,0,0.046
101,1,0,2,0,0,0.015,0,0,0.015
102,0,0,1,0,0,0.000,0,0,0.000
103,1,0,2,0,4,0.061,0,0,0.061
104,0,0,1,0,0,0.000,0,0,0.000
105,1,0,2,0,5,0.075,0,0,0.075
106,1,0,2,0,0,0.010,0,0,0.010
107,1,0,2,0,8,0.115,0,0,0.115
108,1,0,2,0,5,0.071,0,0,0.071
109,1,0,2,0,0,0.015,0,0,0.015
110,1,0,2,0,2,0.036,0,0,0.036
111,1,0,2,0,2,0.036,0,0,0.036
112,1,0,2,0,0,0.010,0,0,0.010
113,1,0,2,0,2,0.036,0,0,0.036
114,1,0,2,0,1,0.025,0,0,0.025
115,0,0,1,0,0,0.000,0,0,0.000
116,1,0,2,0,1,0.021,0,0,0.021
117,0,0,1,0,0,0.000,0,0,0.000
118,1,0,2,0,0,0.010,0,0,0.010
119,1,0,2,0,5,0.075,0,0,0.075
120,3,1,3,4,6,0.046,1,0,0.088
121,1,0,2,0,3,0.050,0,0,0.050
122,1,0,2,0,1,0.021,0,0,0.021
123,1,0,2,0,1,0.025,0,0,0.025
124,0,0,1,0,0,0.000,0,0,0.000
125,1,0,2,0,1,0.025,0,0,0.025
126,1,0,2,0,1,0.029,0,0,0.029
127,0,0,1,0,0,0.000,0,0,0.000
128,1,0,2,0,2,0.040,0,0,0.040
129,1,0,2,0,12,0.174,0,0,0.174
130,1,0,2,0,2,0.040,0,0,0.040
131,1,0,2,0,5,0.075,0,0,0.075
132,0,0,1,0,0,0.000,0,0,0.000
133,1,0,2,0,1,0.025,0,0,0.025
134,0,0,1,0,0,0.000,0,0,0.000
135,0,0,1,0,0,0.000,0,0,0.000
