 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,9,0.126,0,0,0.126
2,1,0,2,0,1,0.025,0,0,0.025
3,1,0,2,0,1,0.021,0,0,0.021
4,5,2,4,5,22,0.070,2,0,0.107
5,1,0,2,0,5,0.080,0,0,0.080
6,1,0,2,0,18,0.237,0,0,0.237
7,32,14,18,55,218,0.113,10,4,0.380
8,1,0,2,0,4,0.056,0,0,0.056
9,1,0,2,0,1,0.025,0,0,0.025
10,3,1,3,3,17,0.086,1,0,0.161
11,1,0,2,0,9,0.126,0,0,0.126
12,0,0,1,0,0,0.000,0,0,0.000
13,3,1,3,3,17,0.088,1,0,0.163
14,0,0,1,0,0,0.000,0,0,0.000
15,3,1,3,3,14,0.076,1,0,0.136
16,1,0,2,0,0,0.010,0,0,0.010
17,1,0,2,0,12,0.161,0,0,0.161
18,8,4,4,10,60,0.110,4,0,0.316
19,1,0,2,0,7,0.092,0,0,0.092
20,0,0,1,0,0,0.000,0,0,0.000
21,1,0,2,0,1,0.029,0,0,0.029
22,1,0,2,0,0,0.010,0,0,0.010
23,1,0,2,0,2,0.031,0,0,0.031
24,1,0,2,0,6,0.094,0,0,0.094
25,1,0,2,0,0,0.010,0,0,0.010
26,1,0,2,0,7,0.101,0,0,0.101
27,1,0,2,0,2,0.031,0,0,0.031
28,0,0,1,0,0,0.000,0,0,0.000
29,1,0,2,0,3,0.055,0,0,0.055
30,1,0,2,0,6,0.090,0,0,0.090
31,0,0,1,0,0,0.000,0,0,0.000
32,1,0,2,0,24,0.312,0,0,0.312
33,0,0,1,0,0,0.000,0,0,0.000
34,1,0,2,0,8,0.115,0,0,0.115
35,1,0,2,0,12,0.157,0,0,0.157
36,1,0,2,0,0,0.010,0,0,0.010
37,1,0,2,0,4,0.065,0,0,0.065
38,1,0,2,0,9,0.117,0,0,0.117
39,1,0,2,0,1,0.029,0,0,0.029
40,1,0,2,0,3,0.046,0,0,0.046
41,1,0,2,0,0,0.010,0,0,0.010
42,1,0,2,0,6,0.090,0,0,0.090
43,1,0,2,0,0,0.010,0,0,0.010
44,5,2,4,4,39,0.104,2,0,0.221
45,1,0,2,0,2,0.040,0,0,0.040
46,1,0,2,0,2,0.036,0,0,0.036
47,1,0,2,0,1,0.021,0,0,0.021
48,1,0,2,0,4,0.056,0,0,0.056
49,1,0,2,0,0,0.015,0,0,0.015
50,1,0,2,0,0,0.010,0,0,0.010
51,1,0,2,0,0,0.010,0,0,0.010
52,1,0,2,0,0,0.015,0,0,0.015
53,11,5,7,15,58,0.086,5,0,0.167
54,9,4,6,8,38,0.068,4,0,0.117
55,1,0,2,0,0,0.015,0,0,0.015
56,0,0,1,0,0,0.000,0,0,0.000
57,1,0,2,0,17,0.218,0,0,0.218
58,0,0,1,0,0,0.000,0,0,0.000
59,1,0,2,0,0,0.010,0,0,0.010
60,0,0,1,0,0,0.000,0,0,0.000
61,1,0,2,0,0,0.010,0,0,0.010
62,1,0,2,0,1,0.025,0,0,0.025
63,1,0,2,0,7,0.096,0,0,0.096
64,1,0,2,0,1,0.021,0,0,0.021
65,0,0,1,0,0,0.000,0,0,0.000
66,1,0,2,0,0,0.010,0,0,0.010
67,1,0,2,0,2,0.040,0,0,0.040
68,0,0,1,0,0,0.000,0,0,0.000
69,9,4,6,8,24,0.051,4,0,0.126
70,1,0,2,0,12,0.166,0,0,0.166
71,1,0,2,0,3,0.050,0,0,0.050
72,3,1,2,2,12,0.059,0,1,0.121
73,1,0,2,0,6,0.094,0,0,0.094
74,1,0,2,0,0,0.015,0,0,0.015
75,1,0,2,0,1,0.021,0,0,0.021
76,0,0,1,0,0,0.000,0,0,0.000
77,1,0,2,0,1,0.021,0,0,0.021
78,0,0,1,0,0,0.000,0,0,0.000
79,0,0,1,0,0,0.000,0,0,0.000
80,1,0,2,0,1,0.025,0,0,0.025
81,0,0,1,0,0,0.000,0,0,0.000
82,1,0,2,0,1,0.021,0,0,0.021
83,1,0,2,0,2,0.031,0,0,0.031
84,1,0,2,0,0,0.015,0,0,0.015
85,1,0,2,0,0,0.010,0,0,0.010
86,1,0,2,0,1,0.021,0,0,0.021
87,1,0,2,0,1,0.021,0,0,0.021
88,1,0,2,0,13,0.172,0,0,0.172
89,1,0,2,0,16,0.207,0,0,0.207
90,1,0,2,0,10,0.123,0,0,0.123
91,1,0,2,0,3,0.050,0,0,0.050
92,1,0,2,0,3,0.042,0,0,0.042
93,1,0,2,0,1,0.021,0,0,0.021
94,1,0,2,0,0,0.015,0,0,0.015
95,0,0,1,0,0,0.000,0,0,0.000
96,1,0,2,0,0,0.010,0,0,0.010
97,1,0,2,0,1,0.025,0,0,0.025
98,1,0,2,0,1,0.025,0,0,0.025
99,18,8,9,43,107,0.106,6,1,0.200
100,1,0,2,0,4,0.056,0,0,0.056
101,0,0,1,0,0,0.000,0,0,0.000
102,1,0,2,0,5,0.071,0,0,0.071
103,3,1,3,3,13,0.071,1,0,0.111
104,1,0,2,0,22,0.287,0,0,0.287
105,1,0,2,0,0,0.015,0,0,0.015
106,1,0,2,0,5,0.075,0,0,0.075
107,0,0,1,0,0,0.000,0,0,0.000
108,1,0,2,0,0,0.010,0,0,0.010
109,1,0,2,0,2,0.040,0,0,0.040
110,1,0,2,0,2,0.036,0,0,0.036
111,0,0,1,0,0,0.000,0,0,0.000
112,1,0,2,0,2,0.031,0,0,0.031
113,1,0,2,0,0,0.010,0,0,0.010
114,1,0,2,0,1,0.025,0,0,0.025
115,1,0,2,0,0,0.010,0,0,0.010
116,1,0,2,0,2,0.040,0,0,0.040
117,1,0,2,0,2,0.040,0,0,0.040
118,0,0,1,0,0,0.000,0,0,0.000
119,1,0,2,0,2,0.031,0,0,0.031
120,1,0,2,0,2,0.040,0,0,0.040
121,1,0,2,0,1,0.029,0,0,0.029
122,3,1,3,1,19,0.091,1,0,0.222
123,0,0,1,0,0,0.000,0,0,0.000
124,1,0,2,0,0,0.010,0,0,0.010
125,0,0,1,0,0,0.000,0,0,0.000
126,0,0,1,0,0,0.000,0,0,0.000
127,1,0,2,0,2,0.040,0,0,0.040
128,1,0,2,0,1,0.025,0,0,0.025
129,1,0,2,0,2,0.040,0,0,0.040
130,1,0,2,0,2,0.031,0,0,0.031
131,1,0,2,0,5,0.071,0,0,0.071
132,1,0,2,0,15,0.188,0,0,0.188
133,0,0,1,0,0,0.000,0,0,0.000
134,1,0,2,0,1,0.021,0,0,0.021
135,1,0,2,0,4,0.069,0,0,0.069
136,3,1,2,2,9,0.047,0,1,0.086
137,3,1,3,3,3,0.031,1,0,0.046
138,1,0,2,0,3,0.050,0,0,0.050
139,1,0,2,0,0,0.010,0,0,0.010
140,1,0,2,0,10,0.128,0,0,0.128
141,1,0,2,0,9,0.117,0,0,0.117
142,1,0,2,0,1,0.025,0,0,0.025
143,1,0,2,0,0,0.015,0,0,0.015
144,1,0,2,0,7,0.101,0,0,0.101
145,1,0,2,0,0,0.015,0,0,0.015
146,0,0,1,0,0,0.000,0,0,0.000
147,1,0,2,0,6,0.094,0,0,0.094
148,1,0,2,0,9,0.126,0,0,0.126
149,3,1,3,8,27,0.139,1,0,0.276
150,1,0,2,0,1,0.025,0,0,0.025
151,1,0,2,0,0,0.010,0,0,0.010
152,1,0,2,0,2,0.036,0,0,0.036
153,1,0,2,0,22,0.291,0,0,0.291
154,1,0,2,0,0,0.015,0,0,0.015
155,0,0,1,0,0,0.000,0,0,0.000
156,3,1,3,1,7,0.042,1,0,0.050
157,1,0,2,0,0,0.010,0,0,0.010
158,1,0,2,0,2,0.036,0,0,0.036
159,0,0,1,0,0,0.000,0,0,0.000
160,1,0,2,0,0,0.015,0,0,0.015
161,1,0,2,0,5,0.071,0,0,0.071
162,0,0,1,0,0,0.000,0,0,0.000
163,1,0,2,0,17,0.239,0,0,0.239
164,0,0,1,0,0,0.000,0,0,0.000
165,0,0,1,0,0,0.000,0,0,0.000
166,1,0,2,0,3,0.055,0,0,0.055
167,15,7,9,30,105,0.112,7,0,0.421
168,1,0,2,0,19,0.247,0,0,0.247
169,3,1,3,3,16,0.086,1,0,0.092
170,1,0,2,0,2,0.031,0,0,0.031
171,1,0,2,0,2,0.031,0,0,0.031
172,3,1,3,3,13,0.071,1,0,0.102
173,1,0,2,0,0,0.010,0,0,0.010
174,1,0,2,0,1,0.025,0,0,0.025
175,1,0,2,0,3,0.050,0,0,0.050
176,1,0,2,0,2,0.031,0,0,0.031
177,1,0,2,0,1,0.021,0,0,0.021
178,1,0,2,0,8,0.111,0,0,0.111
179,0,0,1,0,0,0.000,0,0,0.000
180,1,0,2,0,1,0.029,0,0,0.029
181,0,0,1,0,0,0.000,0,0,0.000
182,1,0,2,0,5,0.067,0,0,0.067
183,1,0,2,0,0,0.010,0,0,0.010
184,0,0,1,0,0,0.000,0,0,0.000
185,1,0,2,0,0,0.010,0,0,0.010
186,1,0,2,0,6,0.086,0,0,0.086
187,0,0,1,0,0,0.000,0,0,0.000
188,1,0,2,0,5,0.080,0,0,0.080
189,1,0,2,0,6,0.090,0,0,0.090
190,1,0,2,0,2,0.031,0,0,0.031
191,12,5,7,20,77,0.105,3,2,0.216
192,5,2,4,7,36,0.108,2,0,0.142
193,1,0,2,0,1,0.025,0,0,0.025
194,1,0,2,0,0,0.015,0,0,0.015
195,1,0,2,0,4,0.061,0,0,0.061
196,0,0,1,0,0,0.000,0,0,0.000
197,1,0,2,0,0,0.010,0,0,0.010
198,1,0,2,0,0,0.010,0,0,0.010
199,1,0,2,0,1,0.021,0,0,0.021
200,1,0,2,0,0,0.010,0,0,0.010
201,1,0,2,0,0,0.010,0,0,0.010
202,1,0,2,0,0,0.010,0,0,0.010
203,0,0,1,0,0,0.000,0,0,0.000
204,1,0,2,0,1,0.021,0,0,0.021
205,8,3,6,12,26,0.064,2,1,0.129
206,3,1,3,4,32,0.145,1,0,0.303
207,3,1,3,4,9,0.059,1,0,0.086
208,1,0,2,0,0,0.010,0,0,0.010
209,4,1,4,6,14,0.069,0,1,0.121
210,1,0,2,0,8,0.102,0,0,0.102
211,7,3,4,9,32,0.076,2,1,0.247
212,0,0,1,0,0,0.000,0,0,0.000
213,1,0,2,0,0,0.010,0,0,0.010
214,1,0,2,0,1,0.021,0,0,0.021
215,1,0,2,0,2,0.036,0,0,0.036
216,1,0,2,0,0,0.010,0,0,0.010
217,1,0,2,0,2,0.036,0,0,0.036
218,1,0,2,0,0,0.010,0,0,0.010
219,0,0,1,0,0,0.000,0,0,0.000
220,0,0,1,0,0,0.000,0,0,0.000
221,0,0,1,0,0,0.000,0,0,0.000
222,1,0,2,0,0,0.010,0,0,0.010
223,0,0,1,0,0,0.000,0,0,0.000
224,1,0,2,0,7,0.088,0,0,0.088
225,0,0,1,0,0,0.000,0,0,0.000
226,1,0,2,0,0,0.010,0,0,0.010
227,0,0,1,0,0,0.000,0,0,0.000
228,1,0,2,0,13,0.172,0,0,0.172
229,1,0,2,0,3,0.050,0,0,0.050
230,1,0,2,0,3,0.055,0,0,0.055
231,1,0,2,0,6,0.077,0,0,0.077
232,1,0,2,0,0,0.010,0,0,0.010
