 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.010,0,0,0.010
2,1,0,2,0,3,0.046,0,0,0.046
3,1,0,2,0,9,0.126,0,0,0.126
4,14,6,9,24,73,0.087,5,1,0.256
5,1,0,2,0,3,0.046,0,0,0.046
6,0,0,1,0,0,0.000,0,0,0.000
7,1,0,2,0,7,0.092,0,0,0.092
8,1,0,2,0,0,0.015,0,0,0.015
9,1,0,2,0,6,0.090,0,0,0.090
10,1,0,2,0,13,0.176,0,0,0.176
11,0,0,1,0,0,0.000,0,0,0.000
12,3,1,3,1,2,0.027,1,0,0.025
13,0,0,1,0,0,0.000,0,0,0.000
14,1,0,2,0,4,0.065,0,0,0.065
15,1,0,2,0,3,0.042,0,0,0.042
16,1,0,2,0,0,0.010,0,0,0.010
17,1,0,2,0,0,0.010,0,0,0.010
18,1,0,2,0,0,0.010,0,0,0.010
19,1,0,2,0,2,0.040,0,0,0.040
20,0,0,1,0,0,0.000,0,0,0.000
21,1,0,2,0,1,0.025,0,0,0.025
22,1,0,2,0,3,0.050,0,0,0.050
23,1,0,2,0,0,0.010,0,0,0.010
24,5,2,4,4,25,0.079,2,0,0.121
25,1,0,2,0,38,0.493,0,0,0.493
26,0,0,1,0,0,0.000,0,0,0.000
27,1,0,2,0,0,0.015,0,0,0.015
28,1,0,2,0,1,0.025,0,0,0.025
29,1,0,2,0,1,0.029,0,0,0.029
30,0,0,1,0,0,0.000,0,0,0.000
31,0,0,1,0,0,0.000,0,0,0.000
32,1,0,2,0,0,0.015,0,0,0.015
33,0,0,1,0,0,0.000,0,0,0.000
34,1,0,2,0,11,0.160,0,0,0.160
35,1,0,2,0,0,0.015,0,0,0.015
36,1,0,2,0,6,0.090,0,0,0.090
37,1,0,2,0,0,0.010,0,0,0.010
38,3,1,3,4,17,0.087,1,0,0.123
39,1,0,2,0,1,0.025,0,0,0.025
40,1,0,2,0,6,0.082,0,0,0.082
41,1,0,2,0,2,0.040,0,0,0.040
42,1,0,2,0,3,0.046,0,0,0.046
43,0,0,1,0,0,0.000,0,0,0.000
44,1,0,2,0,0,0.015,0,0,0.015
45,1,0,2,0,2,0.040,0,0,0.040
46,3,1,3,10,5,0.057,1,0,0.071
47,1,0,2,0,0,0.015,0,0,0.015
48,1,0,2,0,11,0.164,0,0,0.164
49,1,0,2,0,2,0.036,0,0,0.036
50,0,0,1,0,0,0.000,0,0,0.000
51,1,0,2,0,0,0.010,0,0,0.010
52,0,0,1,0,0,0.000,0,0,0.000
53,1,0,2,0,0,0.015,0,0,0.015
54,1,0,2,0,2,0.036,0,0,0.036
55,0,0,1,0,0,0.000,0,0,0.000
56,1,0,2,0,1,0.025,0,0,0.025
