 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,1,0.021,0,0,0.021
2,1,0,2,0,0,0.010,0,0,0.010
3,1,0,2,0,6,0.082,0,0,0.082
4,1,0,2,0,4,0.065,0,0,0.065
5,1,0,2,0,2,0.040,0,0,0.040
6,1,0,2,0,0,0.010,0,0,0.010
7,3,1,3,1,32,0.140,1,0,0.289
8,1,0,2,0,5,0.067,0,0,0.067
9,1,0,2,0,2,0.040,0,0,0.040
10,1,0,2,0,2,0.036,0,0,0.036
11,1,0,2,0,0,0.015,0,0,0.015
12,1,0,2,0,0,0.010,0,0,0.010
13,1,0,2,0,2,0.036,0,0,0.036
14,0,0,1,0,0,0.000,0,0,0.000
15,1,0,2,0,4,0.052,0,0,0.052
16,1,0,2,0,5,0.071,0,0,0.071
17,3,1,3,4,12,0.071,1,0,0.092
18,1,0,2,0,0,0.015,0,0,0.015
19,0,0,1,0,0,0.000,0,0,0.000
20,1,0,2,0,2,0.036,0,0,0.036
21,1,0,2,0,0,0.010,0,0,0.010
22,0,0,1,0,0,0.000,0,0,0.000
23,1,0,2,0,1,0.025,0,0,0.025
24,1,0,2,0,0,0.010,0,0,0.010
25,1,0,2,0,4,0.061,0,0,0.061
26,1,0,2,0,2,0.031,0,0,0.031
27,1,0,2,0,2,0.031,0,0,0.031
28,1,0,2,0,3,0.055,0,0,0.055
29,1,0,2,0,1,0.021,0,0,0.021
30,1,0,2,0,0,0.015,0,0,0.015
31,1,0,2,0,0,0.015,0,0,0.015
32,1,0,2,0,1,0.025,0,0,0.025
33,1,0,2,0,0,0.010,0,0,0.010
34,1,0,2,0,0,0.010,0,0,0.010
35,1,0,2,0,1,0.025,0,0,0.025
36,1,0,2,0,0,0.015,0,0,0.015
37,0,0,1,0,0,0.000,0,0,0.000
38,1,0,2,0,0,0.015,0,0,0.015
39,1,0,2,0,0,0.010,0,0,0.010
40,5,2,4,5,41,0.122,2,0,0.226
41,1,0,2,0,1,0.025,0,0,0.025
42,1,0,2,0,1,0.025,0,0,0.025
43,1,0,2,0,6,0.073,0,0,0.073
44,1,0,2,0,1,0.025,0,0,0.025
45,1,0,2,0,1,0.029,0,0,0.029
46,1,0,2,0,2,0.031,0,0,0.031
47,1,0,2,0,4,0.056,0,0,0.056
48,1,0,2,0,3,0.050,0,0,0.050
49,1,0,2,0,1,0.025,0,0,0.025
50,1,0,2,0,12,0.148,0,0,0.148
51,1,0,2,0,1,0.021,0,0,0.021
52,1,0,2,0,0,0.010,0,0,0.010
53,1,0,2,0,0,0.010,0,0,0.010
54,1,0,2,0,2,0.040,0,0,0.040
55,1,0,2,0,0,0.015,0,0,0.015
56,1,0,2,0,0,0.010,0,0,0.010
57,1,0,2,0,1,0.025,0,0,0.025
58,1,0,2,0,1,0.025,0,0,0.025
59,27,12,14,51,245,0.140,9,2,0.762
60,1,0,2,0,0,0.010,0,0,0.010
61,1,0,2,0,0,0.010,0,0,0.010
62,1,0,2,0,0,0.015,0,0,0.015
63,1,0,2,0,2,0.036,0,0,0.036
64,0,0,1,0,0,0.000,0,0,0.000
