 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,1,0.025,0,0,0.025
2,0,0,1,0,0,0.000,0,0,0.000
3,1,0,2,0,4,0.061,0,0,0.061
4,0,0,1,0,0,0.000,0,0,0.000
5,3,1,3,1,10,0.054,1,0,0.075
6,1,0,2,0,3,0.042,0,0,0.042
7,6,2,4,11,29,0.089,1,0,0.123
8,0,0,1,0,0,0.000,0,0,0.000
9,1,0,2,0,1,0.021,0,0,0.021
10,1,0,2,0,9,0.121,0,0,0.121
11,1,0,2,0,7,0.092,0,0,0.092
12,5,2,4,7,15,0.059,2,0,0.082
13,0,0,1,0,0,0.000,0,0,0.000
14,3,1,3,4,5,0.044,1,0,0.065
15,1,0,2,0,3,0.059,0,0,0.059
16,1,0,2,0,0,0.010,0,0,0.010
17,1,0,2,0,9,0.117,0,0,0.117
18,1,0,2,0,3,0.050,0,0,0.050
19,53,26,23,97,274,0.091,21,5,0.321
20,1,0,2,0,0,0.015,0,0,0.015
21,1,0,2,0,0,0.010,0,0,0.010
22,0,0,1,0,0,0.000,0,0,0.000
23,1,0,2,0,0,0.010,0,0,0.010
24,1,0,2,0,0,0.010,0,0,0.010
25,1,0,2,0,0,0.010,0,0,0.010
26,3,1,3,3,2,0.027,1,0,0.036
27,1,0,2,0,0,0.010,0,0,0.010
28,1,0,2,0,2,0.040,0,0,0.040
29,0,0,1,0,0,0.000,0,0,0.000
30,1,0,2,0,3,0.042,0,0,0.042
31,1,0,2,0,1,0.025,0,0,0.025
32,1,0,2,0,1,0.021,0,0,0.021
33,1,0,2,0,0,0.010,0,0,0.010
34,1,0,2,0,4,0.061,0,0,0.061
35,0,0,1,0,0,0.000,0,0,0.000
36,1,0,2,0,4,0.056,0,0,0.056
37,1,0,2,0,2,0.036,0,0,0.036
38,1,0,2,0,0,0.010,0,0,0.010
39,1,0,2,0,0,0.015,0,0,0.015
40,1,0,2,0,3,0.050,0,0,0.050
41,1,0,2,0,0,0.010,0,0,0.010
42,1,0,2,0,2,0.036,0,0,0.036
43,1,0,2,0,4,0.061,0,0,0.061
44,0,0,1,0,0,0.000,0,0,0.000
45,1,0,2,0,3,0.050,0,0,0.050
46,4,1,4,6,23,0.092,0,1,0.115
47,1,0,2,0,3,0.042,0,0,0.042
48,1,0,2,0,4,0.056,0,0,0.056
49,0,0,1,0,0,0.000,0,0,0.000
50,0,0,1,0,0,0.000,0,0,0.000
51,1,0,2,0,0,0.010,0,0,0.010
52,1,0,2,0,9,0.113,0,0,0.113
53,1,0,2,0,3,0.050,0,0,0.050
54,0,0,1,0,0,0.000,0,0,0.000
55,1,0,2,0,1,0.025,0,0,0.025
56,1,0,2,0,4,0.061,0,0,0.061
57,1,0,2,0,0,0.010,0,0,0.010
58,1,0,2,0,1,0.021,0,0,0.021
59,5,2,4,6,16,0.061,2,0,0.090
60,1,0,2,0,0,0.015,0,0,0.015
61,1,0,2,0,1,0.025,0,0,0.025
62,1,0,2,0,0,0.015,0,0,0.015
63,1,0,2,0,9,0.117,0,0,0.117
64,1,0,2,0,9,0.134,0,0,0.134
65,1,0,2,0,0,0.015,0,0,0.015
66,28,13,16,41,257,0.134,10,2,0.527
67,0,0,1,0,0,0.000,0,0,0.000
68,1,0,2,0,3,0.050,0,0,0.050
69,0,0,1,0,0,0.000,0,0,0.000
70,1,0,2,0,1,0.029,0,0,0.029
71,1,0,2,0,2,0.036,0,0,0.036
72,5,2,4,8,31,0.101,2,0,0.291
73,0,0,1,0,0,0.000,0,0,0.000
74,0,0,1,0,0,0.000,0,0,0.000
75,1,0,2,0,1,0.025,0,0,0.025
76,1,0,2,0,0,0.010,0,0,0.010
77,0,0,1,0,0,0.000,0,0,0.000
78,1,0,2,0,0,0.010,0,0,0.010
79,1,0,2,0,4,0.065,0,0,0.065
80,0,0,1,0,0,0.000,0,0,0.000
81,0,0,1,0,0,0.000,0,0,0.000
82,1,0,2,0,1,0.021,0,0,0.021
83,1,0,2,0,0,0.010,0,0,0.010
84,1,0,2,0,4,0.061,0,0,0.061
85,3,1,3,4,15,0.083,1,0,0.102
86,3,1,3,1,24,0.102,1,0,0.140
87,1,0,2,0,1,0.021,0,0,0.021
88,0,0,1,0,0,0.000,0,0,0.000
89,27,13,13,51,211,0.122,11,2,0.440
90,1,0,2,0,0,0.010,0,0,0.010
91,1,0,2,0,1,0.025,0,0,0.025
92,0,0,1,0,0,0.000,0,0,0.000
93,1,0,2,0,6,0.082,0,0,0.082
94,0,0,1,0,0,0.000,0,0,0.000
95,1,0,2,0,3,0.046,0,0,0.046
96,1,0,2,0,0,0.010,0,0,0.010
97,0,0,1,0,0,0.000,0,0,0.000
98,1,0,2,0,2,0.036,0,0,0.036
99,0,0,1,0,0,0.000,0,0,0.000
100,1,0,2,0,1,0.025,0,0,0.025
101,0,0,1,0,0,0.000,0,0,0.000
102,0,0,1,0,0,0.000,0,0,0.000
103,1,0,2,0,8,0.107,0,0,0.107
104,1,0,2,0,3,0.046,0,0,0.046
105,1,0,2,0,2,0.036,0,0,0.036
106,3,1,3,1,18,0.084,1,0,0.107
107,1,0,2,0,4,0.074,0,0,0.074
108,1,0,2,0,0,0.010,0,0,0.010
109,1,0,2,0,4,0.061,0,0,0.061
110,1,0,2,0,2,0.036,0,0,0.036
111,0,0,1,0,0,0.000,0,0,0.000
112,1,0,2,0,2,0.036,0,0,0.036
