 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.010,0,0,0.010
2,1,0,2,0,2,0.036,0,0,0.036
3,1,0,2,0,3,0.046,0,0,0.046
4,16,7,10,23,103,0.105,6,1,0.289
5,5,2,4,8,56,0.157,2,0,0.387
6,1,0,2,0,7,0.096,0,0,0.096
7,0,0,1,0,0,0.000,0,0,0.000
8,1,0,2,0,0,0.010,0,0,0.010
9,0,0,1,0,0,0.000,0,0,0.000
10,32,15,14,52,204,0.104,12,2,0.434
11,1,0,2,0,0,0.010,0,0,0.010
12,1,0,2,0,1,0.025,0,0,0.025
13,1,0,2,0,11,0.134,0,0,0.134
14,100,50,44,177,659,0.108,45,4,0.494
15,1,0,2,0,7,0.096,0,0,0.096
16,1,0,2,0,0,0.010,0,0,0.010
17,1,0,2,0,1,0.021,0,0,0.021
18,0,0,1,0,0,0.000,0,0,0.000
19,3,1,3,3,26,0.118,1,0,0.242
20,1,0,2,0,1,0.029,0,0,0.029
21,0,0,1,0,0,0.000,0,0,0.000
22,0,0,1,0,0,0.000,0,0,0.000
23,1,0,2,0,0,0.010,0,0,0.010
24,1,0,2,0,0,0.010,0,0,0.010
25,8,3,6,11,54,0.105,2,1,0.255
26,1,0,2,0,6,0.086,0,0,0.086
27,1,0,2,0,1,0.025,0,0,0.025
28,7,3,5,11,40,0.096,3,0,0.172
29,1,0,2,0,0,0.010,0,0,0.010
30,1,0,2,0,2,0.031,0,0,0.031
31,1,0,2,0,2,0.031,0,0,0.031
32,1,0,2,0,7,0.114,0,0,0.114
33,1,0,2,0,0,0.010,0,0,0.010
34,1,0,2,0,2,0.040,0,0,0.040
35,1,0,2,0,1,0.021,0,0,0.021
36,0,0,1,0,0,0.000,0,0,0.000
37,1,0,2,0,2,0.036,0,0,0.036
38,1,0,2,0,0,0.010,0,0,0.010
39,1,0,2,0,0,0.010,0,0,0.010
40,1,0,2,0,17,0.231,0,0,0.231
41,1,0,2,0,0,0.015,0,0,0.015
42,1,0,2,0,3,0.046,0,0,0.046
43,1,0,2,0,1,0.025,0,0,0.025
44,1,0,2,0,11,0.147,0,0,0.147
45,1,0,2,0,4,0.056,0,0,0.056
46,1,0,2,0,10,0.128,0,0,0.128
47,1,0,2,0,4,0.056,0,0,0.056
48,1,0,2,0,1,0.021,0,0,0.021
49,0,0,1,0,0,0.000,0,0,0.000
50,1,0,2,0,1,0.025,0,0,0.025
51,1,0,2,0,1,0.025,0,0,0.025
52,1,0,2,0,4,0.065,0,0,0.065
53,1,0,2,0,0,0.010,0,0,0.010
54,1,0,2,0,0,0.015,0,0,0.015
55,1,0,2,0,9,0.143,0,0,0.143
56,1,0,2,0,6,0.090,0,0,0.090
57,1,0,2,0,1,0.021,0,0,0.021
58,0,0,1,0,0,0.000,0,0,0.000
59,1,0,2,0,0,0.010,0,0,0.010
60,3,1,3,1,21,0.095,1,0,0.117
61,3,1,3,1,14,0.072,1,0,0.130
62,1,0,2,0,6,0.099,0,0,0.099
63,1,0,2,0,3,0.046,0,0,0.046
64,1,0,2,0,1,0.029,0,0,0.029
65,1,0,2,0,5,0.075,0,0,0.075
66,3,1,3,1,11,0.056,1,0,0.121
67,1,0,2,0,1,0.029,0,0,0.029
68,0,0,1,0,0,0.000,0,0,0.000
69,1,0,2,0,10,0.145,0,0,0.145
70,1,0,2,0,4,0.069,0,0,0.069
71,0,0,1,0,0,0.000,0,0,0.000
72,5,2,3,7,44,0.131,1,1,0.190
73,1,0,2,0,0,0.015,0,0,0.015
74,1,0,2,0,3,0.050,0,0,0.050
75,1,0,2,0,1,0.025,0,0,0.025
76,3,1,3,3,5,0.038,1,0,0.052
77,1,0,2,0,0,0.010,0,0,0.010
78,1,0,2,0,5,0.071,0,0,0.071
79,1,0,2,0,1,0.029,0,0,0.029
80,1,0,2,0,0,0.015,0,0,0.015
81,0,0,1,0,0,0.000,0,0,0.000
82,11,5,7,17,60,0.092,5,0,0.213
83,1,0,2,0,1,0.021,0,0,0.021
84,3,1,3,1,5,0.036,1,0,0.042
85,1,0,2,0,0,0.010,0,0,0.010
86,3,1,3,3,25,0.127,1,0,0.296
87,3,1,3,3,27,0.134,1,0,0.164
88,1,0,2,0,0,0.010,0,0,0.010
89,1,0,2,0,1,0.025,0,0,0.025
90,0,0,1,0,0,0.000,0,0,0.000
91,1,0,2,0,0,0.015,0,0,0.015
92,1,0,2,0,8,0.115,0,0,0.115
93,1,0,2,0,0,0.010,0,0,0.010
94,1,0,2,0,1,0.029,0,0,0.029
95,1,0,2,0,17,0.235,0,0,0.235
96,1,0,2,0,1,0.025,0,0,0.025
97,1,0,2,0,7,0.109,0,0,0.109
98,1,0,2,0,3,0.050,0,0,0.050
99,1,0,2,0,24,0.304,0,0,0.304
100,0,0,1,0,0,0.000,0,0,0.000
101,1,0,2,0,4,0.065,0,0,0.065
102,1,0,2,0,4,0.061,0,0,0.061
103,4,1,4,5,32,0.125,0,1,0.178
104,1,0,2,0,1,0.021,0,0,0.021
105,1,0,2,0,0,0.010,0,0,0.010
106,0,0,1,0,0,0.000,0,0,0.000
107,1,0,2,0,8,0.115,0,0,0.115
108,1,0,2,0,0,0.010,0,0,0.010
109,1,0,2,0,4,0.052,0,0,0.052
110,11,5,7,15,70,0.100,5,0,0.337
111,1,0,2,0,1,0.025,0,0,0.025
112,13,6,7,24,96,0.118,5,1,0.291
113,1,0,2,0,10,0.136,0,0,0.136
114,1,0,2,0,0,0.015,0,0,0.015
115,1,0,2,0,6,0.077,0,0,0.077
116,1,0,2,0,1,0.021,0,0,0.021
