 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,10,4,7,13,63,0.097,3,1,0.251
2,1,0,2,0,3,0.050,0,0,0.050
3,3,1,3,3,17,0.091,1,0,0.132
4,3,1,3,3,6,0.043,1,0,0.077
5,0,0,1,0,0,0.000,0,0,0.000
6,16,7,10,28,108,0.113,6,1,0.310
7,1,0,2,0,6,0.086,0,0,0.086
8,1,0,2,0,5,0.067,0,0,0.067
9,1,0,2,0,13,0.185,0,0,0.185
10,1,0,2,0,3,0.050,0,0,0.050
11,1,0,2,0,2,0.040,0,0,0.040
12,1,0,2,0,9,0.108,0,0,0.108
13,1,0,2,0,1,0.025,0,0,0.025
14,1,0,2,0,4,0.056,0,0,0.056
15,0,0,1,0,0,0.000,0,0,0.000
16,22,11,10,36,128,0.096,10,1,0.243
17,0,0,1,0,0,0.000,0,0,0.000
18,1,0,2,0,0,0.015,0,0,0.015
19,1,0,2,0,5,0.071,0,0,0.071
20,1,0,2,0,2,0.040,0,0,0.040
21,3,1,3,3,21,0.110,1,0,0.256
22,1,0,2,0,3,0.042,0,0,0.042
23,1,0,2,0,11,0.155,0,0,0.155
24,1,0,2,0,0,0.015,0,0,0.015
25,0,0,1,0,0,0.000,0,0,0.000
26,1,0,2,0,4,0.065,0,0,0.065
27,1,0,2,0,1,0.021,0,0,0.021
28,1,0,2,0,6,0.094,0,0,0.094
29,1,0,2,0,7,0.096,0,0,0.096
30,0,0,1,0,0,0.000,0,0,0.000
31,1,0,2,0,1,0.021,0,0,0.021
32,1,0,2,0,0,0.015,0,0,0.015
33,1,0,2,0,1,0.021,0,0,0.021
34,1,0,2,0,1,0.021,0,0,0.021
35,1,0,2,0,0,0.010,0,0,0.010
36,0,0,1,0,0,0.000,0,0,0.000
37,1,0,2,0,2,0.036,0,0,0.036
38,0,0,1,0,0,0.000,0,0,0.000
39,1,0,2,0,1,0.021,0,0,0.021
40,1,0,2,0,0,0.010,0,0,0.010
41,3,1,2,2,5,0.035,0,1,0.055
42,3,1,3,1,8,0.044,1,0,0.056
43,1,0,2,0,0,0.015,0,0,0.015
44,1,0,2,0,15,0.201,0,0,0.201
45,1,0,2,0,1,0.021,0,0,0.021
46,1,0,2,0,1,0.025,0,0,0.025
47,1,0,2,0,2,0.040,0,0,0.040
48,1,0,2,0,3,0.042,0,0,0.042
49,1,0,2,0,0,0.010,0,0,0.010
50,1,0,2,0,7,0.109,0,0,0.109
51,1,0,2,0,0,0.015,0,0,0.015
52,1,0,2,0,0,0.010,0,0,0.010
53,1,0,2,0,2,0.036,0,0,0.036
54,1,0,2,0,0,0.010,0,0,0.010
55,1,0,2,0,5,0.071,0,0,0.071
56,1,0,2,0,8,0.124,0,0,0.124
57,19,9,10,30,146,0.114,8,1,0.433
58,3,1,3,4,47,0.216,1,0,0.385
59,0,0,1,0,0,0.000,0,0,0.000
60,1,0,2,0,4,0.065,0,0,0.065
61,1,0,2,0,0,0.010,0,0,0.010
62,1,0,2,0,4,0.069,0,0,0.069
63,8,4,4,14,52,0.103,4,0,0.184
64,1,0,2,0,5,0.067,0,0,0.067
65,1,0,2,0,1,0.021,0,0,0.021
66,1,0,2,0,2,0.036,0,0,0.036
67,1,0,2,0,0,0.010,0,0,0.010
68,1,0,2,0,1,0.021,0,0,0.021
69,1,0,2,0,1,0.025,0,0,0.025
70,1,0,2,0,0,0.015,0,0,0.015
71,0,0,1,0,0,0.000,0,0,0.000
72,8,3,5,16,65,0.136,1,2,0.353
73,1,0,2,0,6,0.094,0,0,0.094
74,1,0,2,0,0,0.015,0,0,0.015
75,1,0,2,0,12,0.153,0,0,0.153
76,1,0,2,0,0,0.010,0,0,0.010
77,1,0,2,0,0,0.015,0,0,0.015
78,0,0,1,0,0,0.000,0,0,0.000
79,1,0,2,0,0,0.010,0,0,0.010
80,0,0,1,0,0,0.000,0,0,0.000
81,0,0,1,0,0,0.000,0,0,0.000
82,1,0,2,0,0,0.015,0,0,0.015
83,1,0,2,0,0,0.015,0,0,0.015
84,1,0,2,0,0,0.010,0,0,0.010
85,1,0,2,0,0,0.015,0,0,0.015
86,1,0,2,0,9,0.130,0,0,0.130
87,1,0,2,0,1,0.025,0,0,0.025
88,1,0,2,0,8,0.111,0,0,0.111
89,0,0,1,0,0,0.000,0,0,0.000
90,3,1,3,5,7,0.053,1,0,0.071
91,1,0,2,0,3,0.055,0,0,0.055
92,9,4,6,15,85,0.138,4,0,0.253
93,1,0,2,0,0,0.010,0,0,0.010
94,1,0,2,0,0,0.010,0,0,0.010
95,1,0,2,0,3,0.042,0,0,0.042
96,1,0,2,0,4,0.052,0,0,0.052
97,1,0,2,0,0,0.010,0,0,0.010
98,1,0,2,0,0,0.010,0,0,0.010
99,1,0,2,0,0,0.015,0,0,0.015
100,1,0,2,0,4,0.069,0,0,0.069
101,0,0,1,0,0,0.000,0,0,0.000
102,1,0,2,0,5,0.067,0,0,0.067
103,1,0,2,0,0,0.010,0,0,0.010
104,1,0,2,0,0,0.010,0,0,0.010
105,1,0,2,0,1,0.025,0,0,0.025
106,1,0,2,0,6,0.082,0,0,0.082
107,1,0,2,0,7,0.118,0,0,0.118
108,1,0,2,0,1,0.025,0,0,0.025
